법령구분,법령명,법령ID,법령일련번호(MST),제개정구분,공포일자,공포번호,시행일자,연혁코드
국토교통부령,감염병의 예방 및 관리에 관한 법률 시행규칙,008083,156806,타법개정,20140708,00106,20140708,연혁
대통령령,전염병예방법시행령,004750,27809,제정,19570228,01257,19570228,연혁
대통령령,전염병예방법시행령,004750,27810,전부개정,19691117,04267,19691117,연혁
대통령령,전염병예방법시행령,004750,27811,일부개정,19770324,08515,19770701,연혁
대통령령,전염병예방법시행령,004750,27812,일부개정,19780519,09026,19780519,연혁
대통령령,전염병예방법시행령,004750,27813,일부개정,19840630,11459,19840630,연혁
대통령령,전염병예방법시행령,004750,27814,타법개정,19901218,13184,19910119,연혁
대통령령,전염병예방법시행령,004750,27815,일부개정,19940707,14320,19940707,연혁
대통령령,전염병예방법시행령,004750,27816,타법개정,19941223,14446,19941223,연혁
대통령령,전염병예방법시행령,004750,27817,일부개정,19941230,14461,19950101,연혁
대통령령,전염병예방법시행령,004750,27818,타법개정,19971231,15598,19980101,연혁
대통령령,전염병예방법시행령,004750,27819,일부개정,19990723,16480,19990809,연혁
대통령령,전염병예방법시행령,004750,59013,일부개정,20000828,16961,20000828,연혁
대통령령,전염병예방법시행령,004750,59114,타법개정,20010707,17296,20010708,연혁
대통령령,전염병예방법시행령,004750,59115,타법개정,20010929,17379,20011001,연혁
대통령령,전염병예방법시행령,004750,59010,일부개정,20030325,17949,20030325,연혁
대통령령,전염병예방법시행령,004750,59011,타법개정,20031129,18146,20031130,연혁
대통령령,전염병예방법시행령,004750,59012,타법개정,20031218,18163,20040117,연혁
대통령령,전염병예방법시행령,004750,61076,일부개정,20040225,18294,20040225,연혁
대통령령,전염병예방법시행령,004750,60954,타법개정,20040317,18312,20040317,연혁
대통령령,전염병예방법시행령,004750,70997,타법개정,20050630,18932,20050701,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,109583,전부개정,20101229,22564,20101230,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,119267,타법개정,20111208,23356,20111208,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,136326,타법개정,20130323,24454,20130323,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,156366,타법개정,20140707,25448,20140708,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,158128,타법개정,20140806,25532,20140807,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,166669,일부개정,20150106,26024,20150707,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,178950,일부개정,20160106,26865,20160107,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,179751,타법개정,20160119,26916,20160121,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,184228,일부개정,20160628,27277,20160630,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,185471,타법개정,20160811,27445,20160812,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,192949,타법개정,20170329,27971,20170330,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,193957,일부개정,20170529,28070,20170603,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,203826,일부개정,20180612,28962,20180612,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,204567,타법개정,20180918,29180,20180921,연혁
대통령령,감염병의 예방 및 관리에 관한 법률 시행령,004750,209604,타법개정,20190702,29950,20190702,연혁
