번호,제목,등록일,조회,문서번호,URL
398,법정감염병 진단검사 통합지침(제5판),2026.07.23,385,20260723171016500,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260723171016500&q_clsfNo=-1
397,엠폭스 관리지침(제3-1판),2026.06.01,304,20260601083147987,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260601083147987&q_clsfNo=-1
396,2026년 성매개감염병 관리지침,2026.03.03,1058,20260303173721749,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260303173721749&q_clsfNo=-1
395,2026년도 한센병사업 관리지침,2026.02.24,593,20260224093345460,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260224093345460&q_clsfNo=-1
394,만성 코로나19증후군 임상진료지침 권고안(2025),2026.02.10,1206,20260210094545190,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260210094545190&q_clsfNo=-1
393,2026년 HIV/AIDS 관리지침,2026.02.02,2877,20260202102903689,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260202102903689&q_clsfNo=-1
392,2026년도 호흡기감염병 관리지침(일부개정판),2026.01.30,3021,20260130085033851,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260130085033851&q_clsfNo=-1
391,2026년도 제1급감염병 대응지침(4종),2026.01.26,2413,20260126111805686,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260126111805686&q_clsfNo=-1
390,2026 국가결핵관리지침,2026.01.05,2058,20260105170034695,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260105170034695&q_clsfNo=-1
389,엠폭스 관리지침(제3판),2025.12.18,464,20251218131542258,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20251218131542258&q_clsfNo=-1
388,법정감염병 진단검사 통합지침(제4-2판),2025.12.08,2235,20251208110516818,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20251208110516818&q_clsfNo=-1
387,제1급감염병 니파바이러스감염증 대응 지침(제1판),2025.09.08,1200,20250908095956243,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250908095956243&q_clsfNo=-1
386,2025년도 코로나바이러스감염증-19 관리지침,2025.09.01,3753,20250901094907451,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250901094907451&q_clsfNo=-1
385,2025년 HIV/AIDS 관리지침 개정판,2025.07.15,980,20250715090240017,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250715090240017&q_clsfNo=-1
384,2025년 예방접종대상감염병 관리지침,2025.05.23,2538,20250523095735415,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250523095735415&q_clsfNo=-1
383,2025년도 레지오넬라증 관리지침,2025.04.23,1156,20250423131851611,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250423131851611&q_clsfNo=-1
