제목,등록일,연도,출처,최신판,판수,URL,URL2,계열키
2026년 제1급감염병(바이러스성출혈열) 대응지침(2026.8월),2026.08.28,2026,KDCA게시판+감염병포털,Y,4,https://www.kdca.go.kr/bbs/kdca/55/312398/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/309846/artclView.do,제1급감염병대응지침
2026년 코로나바이러스감염증-19 관리지침,2026.08.27,2026,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/312381/artclView.do,,코로나바이러스감염증19관리지침
감염병 위기 사회대응 매뉴얼(2026),2026.08.18,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/312241/artclView.do,,감염병위기사회대응매뉴얼
의료관련감염 자율보고 운영안내(제3판),2026.07.24,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/311933/artclView.do,,의료관련감염자율보고운영
법정감염병 진단검사 통합지침(제5판),2026.07.23,2026,KDCA게시판+감염병포털,Y,7,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260723171016500&q_clsfNo=-1,법정감염병진단검사통합지침
2026 검역감염병 대응지침,2026.07.23,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/311900/artclView.do,,2026검역감염병대응지침
「항생제 적정사용 관리(ASP) 시범사업」 FAQ 개정 안내(2026.6.30. 기준),2026.06.30,2026,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/311621/artclView.do,,항생제적정사용관리시범사업FAQ
코로나19예방접종 피해보상 특별법 업무지침(2판),2026.06.02,2026,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/311300/artclView.do,,코로나19예방접종피해보상특별법업무지침
2026년도 엔테로바이러스감염증·수족구병 관리지침 재안내,2026.06.01,2026,KDCA게시판,Y,8,https://www.kdca.go.kr/bbs/kdca/55/311285/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/309990/artclView.do,엔테로바이러스감염증수족구병관리지침
2026년 수인성·식품매개감염병 관리지침 재안내,2026.06.01,2026,KDCA게시판,Y,9,https://www.kdca.go.kr/bbs/kdca/55/311284/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/309571/artclView.do,수인성식품매개감염병관리지침
엠폭스 관리지침(제3-1판),2026.06.01,2026,KDCA게시판+감염병포털,Y,3,https://www.kdca.go.kr/bbs/kdca/55/311278/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260601083147987&q_clsfNo=-1,엠폭스관리지침
2026년 한타바이러스 심폐증후군(안데스바이러스 감염) 대응지침 제정 안내,2026.05.29,2026,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/311258/artclView.do,,한타바이러스심폐증후군대응지침
