연도,주차,기준일,검출률,양성건수,검체수,무균성수막염,수족구병_포진성구협염,합병증동반수족구병,기타,출처호
2024,52,2024-12-28,,,,0,3,0,1,18-2
2025,5,2025-02-01,,,,0,0,0,0,18-6
2025,9,2025-03-01,0.0,0,10,0,0,0,0,18-10
2025,13,2025-03-29,0.0,0,12,0,0,0,0,18-14
2025,17,2025-04-26,0.0,0,7,0,0,0,0,18-18
2025,21,2025-05-24,0.0,0,11,0,0,0,0,18-22
2025,25,2025-06-21,34.5,10,29,0,8,0,2,18-26
2025,29,2025-07-19,60.0,30,50,1,28,0,1,18-30
2025,33,2025-08-16,75.6,31,41,1,27,1,2,18-34
2025,37,2025-09-13,59.5,22,37,0,21,0,1,18-38
2025,46,2025-11-15,40.0,4,10,0,4,0,0,18-46
2025,50,2025-12-13,21.4,3,14,0,1,0,2,18-50
2026,1,2026-01-03,0.0,0,6,0,0,0,0,19-2
2026,5,2026-01-31,0.0,0,6,0,0,0,0,19-6
2026,10,2026-03-07,0.0,0,11,0,0,0,0,19-10
2026,14,2026-04-04,20.0,2,10,0,1,0,1,19-14
2026,18,2026-05-02,0.0,0,14,0,0,0,0,19-18
2026,22,2026-05-30,0.0,0,15,0,0,0,0,19-22
2026,26,2026-06-27,44.4,12,27,0,8,0,4,19-26
2026,30,2026-07-25,60.3,35,58,0,16,0,19,19-30
2026,34,2026-08-22,73.5,25,34,0,20,0,5,19-34
