연도,주차,기준일,양성률,A_H1N1pdm09,A_H3N2,B,표본의료기관수,출처호
2024,39,2024-09-28,0.4,,,,106,17-38
2025,1,2025-01-04,62.9,,,,106,18-2
2025,6,2025-02-08,14.2,,,,106,18-6
2025,10,2025-03-08,12.3,2.2,1.5,8.6,106,18-10
2025,14,2025-04-05,22.5,0.7,0.7,21.1,106,18-14
2025,18,2025-05-03,17.0,0.3,0.0,16.7,106,18-18
2025,22,2025-05-31,3.5,0.3,0.0,3.2,106,18-22
2025,26,2025-06-28,1.1,0.4,0.0,0.8,106,18-26
2025,30,2025-07-26,1.5,0.8,0.4,0.4,106,18-30
2025,34,2025-08-23,1.4,1.0,0.4,0.0,106,18-34
2025,38,2025-09-20,2.1,0.5,1.1,0.5,106,18-38
2025,47,2025-11-22,45.0,0.8,43.9,0.2,106,18-46
2025,51,2025-12-20,38.2,0.5,35.6,2.1,106,18-50
2026,2,2026-01-10,33.5,0.6,15.3,17.6,106,19-2
2026,6,2026-02-07,38.4,0.7,3.5,34.2,109,19-6
2026,11,2026-03-14,16.7,0.2,1.8,14.6,109,19-10
2026,15,2026-04-11,10.1,0.4,0.4,9.3,109,19-14
2026,19,2026-05-09,2.4,0.0,0.4,2.0,109,19-18
2026,23,2026-06-06,0.0,0.0,0.0,0.0,109,19-22
2026,27,2026-07-04,0.3,0.3,0.0,0.0,109,19-26
2026,31,2026-08-01,2.1,2.1,0.0,0.0,109,19-30
2026,35,2026-08-29,12.3,12.3,0.0,0.0,109,19-34
