연도,주차,총검출률,아데노,보카,파라인플루엔자,RSV,리노,메타뉴모,코로나,인플루엔자,코로나19,출처호
2023,49,93.0,9.0,2.0,2.0,5.9,13.4,0.0,11.2,42.2,7.3,17-1
2023,50,98.2,9.0,2.4,0.7,8.8,10.8,1.8,13.0,43.8,7.9,17-2
2023,51,95.3,12.5,3.1,0.5,8.8,11.2,0.5,15.1,35.6,8.1,17-2
2023,52,94.8,7.4,1.5,0.9,12.0,8.3,1.5,15.7,39.5,7.7,17-2
2024,1,87.2,6.1,1.7,0.7,8.8,6.1,3.0,8.1,40.9,11.8,17-2
2024,3,88.1,7.8,2.2,1.5,16.0,7.8,2.7,9.0,28.9,12.4,17-6
2024,4,83.3,7.8,3.0,1.1,11.6,7.8,3.0,8.6,25.8,14.8,17-6
2024,5,78.8,8.6,2.3,0.6,10.3,6.6,3.7,7.7,24.4,14.6,17-6
2024,6,71.2,5.1,1.4,1.1,16.2,4.8,2.6,6.0,16.2,17.7,17-6
2024,7,73.2,5.4,0.7,0.7,12.3,5.4,2.5,6.2,17.8,22.1,17-10
2024,8,71.2,5.7,1.8,2.1,11.4,8.8,3.9,5.5,10.6,21.3,17-10
2024,9,72.4,4.8,2.1,0.3,15.2,9.7,8.2,6.1,6.1,20.0,17-10
2024,10,68.8,8.3,2.4,1.5,9.8,10.7,5.4,4.5,5.7,20.5,17-10
2024,11,69.2,6.7,1.5,1.5,6.2,17.9,5.4,6.2,6.2,17.7,17-14
2024,12,77.2,5.8,1.4,3.6,5.8,24.3,6.7,3.8,7.9,17.8,17-14
2024,13,82.6,6.8,3.2,3.4,4.1,28.5,7.5,3.8,7.9,17.4,17-14
2024,14,79.5,9.0,3.5,5.8,5.1,24.2,11.5,3.0,7.8,9.7,17-14
2024,15,74.6,8.7,3.2,7.7,4.0,21.9,9.5,3.0,7.5,9.0,17-18
2024,16,74.3,8.1,3.6,13.7,2.0,21.9,9.9,1.5,5.9,7.6,17-18
2024,17,80.2,7.0,5.3,17.3,1.1,21.8,13.7,0.8,3.9,9.2,17-18
2024,18,82.3,8.5,6.6,19.3,3.7,20.9,13.0,0.8,3.4,6.1,17-18
2024,19,79.3,6.8,7.9,19.2,3.4,17.3,14.3,1.1,4.5,4.9,17-22
2024,20,71.3,3.8,6.4,19.7,1.6,20.1,10.2,1.0,2.2,6.4,17-22
2024,21,80.5,10.1,11.3,21.4,0.9,17.9,8.5,0.9,3.1,6.3,17-22
