주차,감염병,보고기관당_신고수,출처호
52,사람유두종바이러스 감염증,4.7,17-1
52,성기단순포진,2.3,17-1
52,첨규콘딜롬,1.6,17-1
52,클라미디아 감염증,1.5,17-1
52,임질,1.0,17-1
1,사람유두종바이러스 감염증,4.1,17-2
1,성기단순포진,2.5,17-2
1,첨규콘딜롬,1.4,17-2
1,클라미디아 감염증,1.6,17-2
1,임질,1.2,17-2
6,사람유두종바이러스 감염증,3.2,17-6
6,성기단순포진,2.5,17-6
6,첨규콘딜롬,1.5,17-6
6,클라미디아 감염증,1.8,17-6
6,임질,1.1,17-6
10,사람유두종바이러스 감염증,3.5,17-10
10,성기단순포진,2.8,17-10
10,첨규콘딜롬,1.4,17-10
10,클라미디아 감염증,1.7,17-10
10,임질,1.3,17-10
14,사람유두종바이러스 감염증,3.8,17-14
14,성기단순포진,3.2,17-14
14,첨규콘딜롬,1.6,17-14
14,클라미디아 감염증,1.9,17-14
14,임질,1.1,17-14
18,사람유두종바이러스 감염증,4.2,17-18
18,성기단순포진,2.5,17-18
18,첨규콘딜롬,1.6,17-18
18,클라미디아 감염증,1.8,17-18
18,임질,1.1,17-18
22,사람유두종바이러스 감염증,4.0,17-22
22,성기단순포진,2.8,17-22
22,첨규콘딜롬,1.5,17-22
22,클라미디아 감염증,1.8,17-22
22,임질,1.2,17-22
26,사람유두종바이러스 감염증,3.0,17-26
26,성기단순포진,2.9,17-26
26,첨규콘딜롬,1.4,17-26
26,클라미디아 감염증,1.6,17-26
26,임질,1.3,17-26
30,사람유두종바이러스 감염증,3.1,17-30
30,성기단순포진,2.5,17-30
30,첨규콘딜롬,1.2,17-30
30,클라미디아 감염증,1.8,17-30
30,임질,1.1,17-30
34,사람유두종바이러스 감염증,3.7,17-34
34,성기단순포진,3.0,17-34
34,첨규콘딜롬,1.4,17-34
34,클라미디아 감염증,1.8,17-34
34,임질,1.1,17-34
36,사람유두종바이러스 감염증,3.0,17-36
36,성기단순포진,3.2,17-36
