급,감염병,연결등급,계열,지침명,등록일,URL
제1급,남아메리카출혈열,group,1급_출혈열,2026년 제1급감염병(바이러스성출혈열) 대응지침(2026.8월),2026.08.28,https://www.kdca.go.kr/bbs/kdca/55/312398/artclView.do
제1급,남아메리카출혈열,group,1급_출혈열,2023년 제1급감염병 바이러스성출혈열 대응지침,2023.04.21,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20230421136838350&q_clsfNo=0
제1급,남아메리카출혈열,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제1급,니파바이러스감염증,direct,,제1급감염병 니파바이러스감염증 대응 지침(제1판),2025.09.08,https://www.kdca.go.kr/bbs/kdca/55/228305/artclView.do
제1급,니파바이러스감염증,direct,,니파바이러스감염증 중점검역관리지역 지정 안내,2026.02.11,https://www.kdca.go.kr/bbs/kdca/50/310091/artclView.do
제1급,니파바이러스감염증,direct,,니파바이러스감염증 검역관리지역 지정 안내,2025.09.03,https://www.kdca.go.kr/bbs/kdca/50/221449/artclView.do
제1급,니파바이러스감염증,group,검역,2026 검역업무지침,2026.04.02,https://www.kdca.go.kr/bbs/kdca/55/310651/artclView.do
제1급,니파바이러스감염증,group,검역,2025 검역업무지침,2025.05.07,https://www.kdca.go.kr/bbs/kdca/55/228293/artclView.do
제1급,니파바이러스감염증,group,인수공통,"2026년도 인수공통감염병(브루셀라증, 공수병, 큐열, 유비저) 관리지침",2026.03.23,https://www.kdca.go.kr/bbs/kdca/55/310521/artclView.do
제1급,니파바이러스감염증,group,인수공통,인수공통감염병 공동 역학조사 매뉴얼(3.인수공통결핵),2023.06.21,https://www.kdca.go.kr/bbs/kdca/55/228139/artclView.do
제1급,니파바이러스감염증,group,진단검사,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
제1급,동물인플루엔자 인체감염증,direct,,2024년 제1급감염병(동물인플루엔자 인체감염증) 대응지침(2024.10월),2024.10.29,https://www.kdca.go.kr/bbs/kdca/55/228244/artclView.do
