분류,제목,등록일,URL
제1급 대응지침,2026년도 제1급감염병 대응지침(4종),2026.01.26,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260126111805686&q_clsfNo=-1
위기대응·소통,원인불명 질병 집단감염 대응지침(제3판),2025.01.02,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250102164359901&q_clsfNo=-1
제1급 대응지침,2025년 제1급감염병 대응지침 4종 개정본,2025.01.02,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20250102163041973&q_clsfNo=-1
제1급 대응지침,제1급감염병 대응지침 4종 개정(2024년 1월),2024.06.20,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20240620130843258&q_clsfNo=-1
기타,엠폭스 대응지침(지자체용) 제5-2판,2023.08.18,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20230818784829459&q_clsfNo=0
역학조사 매뉴얼,인수공통감염병 공동 역학조사 매뉴얼(3.인수공통결핵),2023.06.21,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20230621890950466&q_clsfNo=0
제1급 대응지침,2023년 제1급감염병 중동호흡기증후군(MERS)·중증급성호흡기증후군(SARS) 대응지침,2023.04.21,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20230421944839744&q_clsfNo=0
제1급 대응지침,2023년 제1급감염병 두창·페스트·탄저·보툴리눔독소증·야토병 대응지침,2023.04.21,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20230421731941239&q_clsfNo=0
제1급 대응지침,2023년 제1급감염병 동물인플루엔자 인체감염증 대응지침,2023.04.21,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20230421489669316&q_clsfNo=0
제1급 대응지침,2023년 제1급감염병 바이러스성출혈열 대응지침,2023.04.21,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20230421136838350&q_clsfNo=0
제1급 대응지침,바이러스성출혈열 대응지침입니다.,2022.01.25,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125886432776&q_clsfNo=0
제1급 대응지침,동물인플루엔자 인체감염증 대응지침 입니다.,2022.01.25,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125784788667&q_clsfNo=0
제1급 대응지침,"두창, 페스트, 탄저, 보툴리눔독소증, 야토병 대응지침입니다.",2022.01.25,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125628280733&q_clsfNo=0
제1급 대응지침,중증급성호흡기증후군(SARS) 대응지침입니다.,2022.01.25,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125546375205&q_clsfNo=0
제1급 대응지침,중동호흡기증후군(MERS) 대응지침입니다.,2022.01.25,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20220125213542588&q_clsfNo=0
시설별 관리 매뉴얼,2019년도 인플루엔자 관리 매뉴얼(어린이집 유치원 학교용),2019.12.30,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20191230917619275&q_clsfNo=0
