년,월,국적지역,입국자수
2022,01,미국,20123
2022,01,필리핀,9478
2022,01,중국,8408
2022,01,미얀마,5228
2022,01,인도네시아,4591
2022,01,캐나다,3524
2022,01,러시아연방,3250
2022,01,인도,2921
2022,01,베트남,2660
2022,01,한국계중국인,2322
2022,01,독일,1755
2022,01,프랑스,1673
2022,01,일본,1516
2022,01,태국,1368
2022,01,싱가포르,1359
2022,01,영국,1116
2022,01,우즈베키스탄,1110
2022,01,네팔,1051
2022,01,우크라이나,1044
2022,01,캄보디아,1012
2022,01,네덜란드,946
2022,01,스리랑카,764
2022,01,방글라데시,748
2022,01,몽골,744
2022,01,오스트레일리아,648
2022,01,말레이시아,572
2022,01,터키,512
2022,01,타이완,488
2022,01,이탈리아,439
2022,01,파키스탄,421
2022,01,폴란드,405
2022,01,그리스,390
2022,01,루마니아,365
2022,01,핀란드,281
2022,01,멕시코,275
2022,01,카자흐스탄,270
2022,01,키르기즈,261
2022,01,스페인,257
2022,01,에티오피아,244
2022,01,포르투갈,222
2022,01,벨기에,220
2022,01,불가리아,219
2022,01,브라질,217
2022,01,뉴질랜드,202
2022,01,이집트,200
2022,01,스웨덴,198
2022,01,덴마크,164
2022,01,크로아티아,157
2022,01,오스트리아,152
2022,01,사우디아라비아,142
2022,01,아일랜드,132
2022,01,아랍에미리트연합,131
2022,01,노르웨이,129
2022,01,티모르민주공화국,118
2022,01,헝가리,117
2022,01,이스라엘,113
2022,01,리비아,111
2022,01,남아프리카공화국,110
2022,01,타지키스탄,101
2022,01,스위스,99
2022,01,홍콩,85
2022,01,모로코,77
2022,01,아이슬란드,77
2022,01,요르단,74
2022,01,체코,69
2022,01,콜롬비아,67
2022,01,이란,66
2022,01,라오스,64
2022,01,라트비아,64
2022,01,조지아,61
2022,01,시리아,55
2022,01,아제르바이잔,54
2022,01,세르비아,53
2022,01,리투아니아,47
2022,01,슬로바크,44
2022,01,케냐,42
2022,01,튀니지,42
2022,01,이라크,40
2022,01,페루,40
2022,01,탄자니아,38
2022,01,칠레,36
2022,01,나이지리아,35
2022,01,벨로루시,33
2022,01,베네수엘라,27
2022,01,아르헨티나,27
2022,01,레바논,25
2022,01,몬테네그로,23
2022,01,가나,21
2022,01,카메룬,21
2022,01,도미니카공화국,20
2022,01,알제리,20
2022,01,예멘공화국,20
2022,01,우간다,20
2022,01,슬로베니아,19
2022,01,에스토니아,19
2022,01,에콰도르,17
2022,01,자메이카,17
2022,01,쿠웨이트,17
2022,01,세네갈,15
2022,01,코스타리카,15
2022,01,짐바브웨,14
2022,01,르완다,13
2022,01,모잠비크,13
2022,01,코트디부아르,13
