연도,연령,출생연도,백신,항목,값,이상
2025,13세,2012,BCG,접종자,472272.0,
2025,13세,2012,BCG,접종률,97.0,
2025,13세,2012,HepB,접종자,470391.0,
2025,13세,2012,HepB,접종률,96.6,
2025,13세,2012,IPV,접종자,468935.0,
2025,13세,2012,IPV,접종률,96.3,
2025,13세,2012,JE,접종자,431102.0,
2025,13세,2012,JE,접종률,88.5,
2025,13세,2012,MMR,접종자,472807.0,
2025,13세,2012,MMR,접종률,97.1,
2025,13세,2012,Tdap,접종자,436802.0,
2025,13세,2012,Tdap,접종률,89.7,
2025,13세,2012,VAR,접종자,477570.0,
2025,13세,2012,VAR,접종률,98.1,
2025,13세,2012,완전접종률,접종자,409447.0,
2025,13세,2012,완전접종률,접종률,84.1,
2025,1세,2024,BCG,접종자,236721.0,
2025,1세,2024,BCG,접종률,97.0,
2025,1세,2024,DTaP,접종자,235995.0,
2025,1세,2024,DTaP,접종률,96.7,
2025,1세,2024,HepB,접종자,235360.0,
2025,1세,2024,HepB,접종률,96.5,
2025,1세,2024,Hib,접종자,235908.0,
2025,1세,2024,Hib,접종률,96.7,
2025,1세,2024,IPV,접종자,235907.0,
2025,1세,2024,IPV,접종률,96.7,
2025,1세,2024,PCV,접종자,235624.0,
2025,1세,2024,PCV,접종률,96.6,
2025,1세,2024,RV,접종자,229472.0,
2025,1세,2024,RV,접종률,94.1,
2025,1세,2024,완전접종률,접종자,227405.0,
2025,1세,2024,완전접종률,접종률,93.2,
2025,2세,2023,BCG,접종자,228535.0,
2025,2세,2023,BCG,접종률,97.2,
2025,2세,2023,DTaP,접종자,224170.0,
2025,2세,2023,DTaP,접종률,95.4,
2025,2세,2023,HepB,접종자,227405.0,
2025,2세,2023,HepB,접종률,96.8,
2025,2세,2023,Hib,접종자,224377.0,
2025,2세,2023,Hib,접종률,95.5,
2025,2세,2023,IPV,접종자,228026.0,
2025,2세,2023,IPV,접종률,97.0,
2025,2세,2023,MMR,접종자,227176.0,
2025,2세,2023,MMR,접종률,96.7,
2025,2세,2023,PCV,접종자,225892.0,
2025,2세,2023,PCV,접종률,96.1,
2025,2세,2023,RV,접종자,221034.0,
2025,2세,2023,RV,접종률,94.0,
2025,2세,2023,VAR,접종자,227258.0,
2025,2세,2023,VAR,접종률,96.7,
2025,2세,2023,완전접종률,접종자,215011.0,
2025,2세,2023,완전접종률,접종률,91.5,
2025,3세,2022,BCG,접종자,247347.0,
2025,3세,2022,BCG,접종률,97.2,
2025,3세,2022,DTaP,접종자,244047.0,
2025,3세,2022,DTaP,접종률,95.9,
2025,3세,2022,HepA,접종자,242341.0,
2025,3세,2022,HepA,접종률,95.2,
2025,3세,2022,HepB,접종자,246594.0,
2025,3세,2022,HepB,접종률,96.9,
2025,3세,2022,Hib,접종자,243150.0,
2025,3세,2022,Hib,접종률,95.5,
2025,3세,2022,IPV,접종자,247139.0,
2025,3세,2022,IPV,접종률,97.1,
2025,3세,2022,JE,접종자,233409.0,
2025,3세,2022,JE,접종률,91.7,
2025,3세,2022,MMR,접종자,246675.0,
2025,3세,2022,MMR,접종률,96.9,
2025,3세,2022,PCV,접종자,245508.0,
2025,3세,2022,PCV,접종률,96.5,
2025,3세,2022,VAR,접종자,246650.0,
2025,3세,2022,VAR,접종률,96.9,
2025,3세,2022,완전접종률,접종자,229114.0,
2025,3세,2022,완전접종률,접종률,90.0,
2025,6세,2019,BCG,접종자,300306.0,
2025,6세,2019,BCG,접종률,97.4,
2025,6세,2019,DTaP,접종자,291990.0,
2025,6세,2019,DTaP,접종률,94.7,
2025,6세,2019,HepA,접종자,298596.0,
2025,6세,2019,HepA,접종률,96.8,
2025,6세,2019,HepB,접종자,299422.0,
2025,6세,2019,HepB,접종률,97.1,
2025,6세,2019,Hib,접종자,295840.0,
2025,6세,2019,Hib,접종률,95.9,
2025,6세,2019,IPV,접종자,293732.0,
2025,6세,2019,IPV,접종률,95.2,
2025,6세,2019,JE,접종자,288912.0,
2025,6세,2019,JE,접종률,93.7,
2025,6세,2019,MMR,접종자,294877.0,
2025,6세,2019,MMR,접종률,95.6,
2025,6세,2019,PCV,접종자,298401.0,
2025,6세,2019,PCV,접종률,96.8,
2025,6세,2019,VAR,접종자,300630.0,
2025,6세,2019,VAR,접종률,97.5,
2025,6세,2019,완전접종률,접종자,279207.0,
2025,6세,2019,완전접종률,접종률,90.5,
2024,1세,2023,BCG,접종자,228386.0,
2024,1세,2023,BCG,접종률,97.4,
2024,1세,2023,DTaP,접종자,227549.0,
2024,1세,2023,DTaP,접종률,97.1,
2024,1세,2023,HepB,접종자,227007.0,
2024,1세,2023,HepB,접종률,96.8,
2024,1세,2023,Hib,접종자,227553.0,
2024,1세,2023,Hib,접종률,97.1,
2024,1세,2023,IPV,접종자,227448.0,
2024,1세,2023,IPV,접종률,97.0,
2024,1세,2023,PCV,접종자,227154.0,
2024,1세,2023,PCV,접종률,96.9,
2024,1세,2023,RV,접종자,220739.0,
2024,1세,2023,RV,접종률,94.2,
2024,1세,2023,완전접종률,접종자,218803.0,
2024,1세,2023,완전접종률,접종률,93.3,
2024,2세,2022,BCG,접종자,247323.0,
2024,2세,2022,BCG,접종률,97.3,
2024,2세,2022,DTaP,접종자,241707.0,
2024,2세,2022,DTaP,접종률,95.1,
2024,2세,2022,HepB,접종자,246418.0,
2024,2세,2022,HepB,접종률,97.0,
2024,2세,2022,Hib,접종자,242534.0,
2024,2세,2022,Hib,접종률,95.4,
2024,2세,2022,IPV,접종자,246857.0,
2024,2세,2022,IPV,접종률,97.1,
2024,2세,2022,MMR,접종자,246291.0,
2024,2세,2022,MMR,접종률,96.9,
2024,2세,2022,PCV,접종자,244673.0,
2024,2세,2022,PCV,접종률,96.3,
2024,2세,2022,VAR,접종자,246166.0,
2024,2세,2022,VAR,접종률,96.9,
2024,2세,2022,완전접종률,접종자,237749.0,
2024,2세,2022,완전접종률,접종률,93.6,
2024,3세,2021,BCG,접종자,259172.0,
2024,3세,2021,BCG,접종률,97.2,
2024,3세,2021,DTaP,접종자,254207.0,
2024,3세,2021,DTaP,접종률,95.4,
2024,3세,2021,HepA,접종자,253145.0,
2024,3세,2021,HepA,접종률,95.0,
2024,3세,2021,HepB,접종자,258002.0,
2024,3세,2021,HepB,접종률,96.8,
2024,3세,2021,Hib,접종자,254598.0,
2024,3세,2021,Hib,접종률,95.5,
2024,3세,2021,IPV,접종자,259082.0,
2024,3세,2021,IPV,접종률,97.2,
2024,3세,2021,JE,접종자,242687.0,
2024,3세,2021,JE,접종률,91.0,
2024,3세,2021,MMR,접종자,258931.0,
2024,3세,2021,MMR,접종률,97.1,
2024,3세,2021,PCV,접종자,256905.0,
2024,3세,2021,PCV,접종률,96.4,
2024,3세,2021,VAR,접종자,258723.0,
2024,3세,2021,VAR,접종률,97.1,
2024,3세,2021,완전접종률,접종자,236464.0,
2024,3세,2021,완전접종률,접종률,88.7,
2024,6세,2018,BCG,접종자,323656.0,
2024,6세,2018,BCG,접종률,97.5,
2024,6세,2018,DTaP,접종자,310670.0,
2024,6세,2018,DTaP,접종률,93.6,
2024,6세,2018,HepA,접종자,321410.0,
2024,6세,2018,HepA,접종률,96.8,
2024,6세,2018,HepB,접종자,322525.0,
2024,6세,2018,HepB,접종률,97.1,
2024,6세,2018,Hib,접종자,318767.0,
2024,6세,2018,Hib,접종률,96.0,
2024,6세,2018,IPV,접종자,3161823.0,접종자 수가 한 해 출생아보다 크다
2024,6세,2018,IPV,접종률,95.2,
2024,6세,2018,JE,접종자,311337.0,
2024,6세,2018,JE,접종률,93.8,
2024,6세,2018,MMR,접종자,316194.0,
2024,6세,2018,MMR,접종률,95.2,
2024,6세,2018,PCV,접종자,321430.0,
2024,6세,2018,PCV,접종률,96.8,
2024,6세,2018,VAR,접종자,323512.0,
2024,6세,2018,VAR,접종률,97.4,
2024,6세,2018,완전접종률,접종자,296951.0,
2024,6세,2018,완전접종률,접종률,89.4,
2023,1세,2022,BCG,접종자,247271.0,
2023,1세,2022,BCG,접종률,97.6,
2023,1세,2022,DTaP,접종자,246401.0,
2023,1세,2022,DTaP,접종률,97.2,
2023,1세,2022,HepB,접종자,246007.0,
2023,1세,2022,HepB,접종률,97.1,
2023,1세,2022,Hib,접종자,246428.0,
2023,1세,2022,Hib,접종률,97.2,
2023,1세,2022,IPV,접종자,246315.0,
2023,1세,2022,IPV,접종률,97.2,
2023,1세,2022,PCV,접종자,246030.0,
2023,1세,2022,PCV,접종률,97.1,
2023,1세,2022,완전접종률,접종자,244225.0,
2023,1세,2022,완전접종률,접종률,96.4,
2023,2세,2021,BCG,접종자,259248.0,
2023,2세,2021,BCG,접종률,97.4,
2023,2세,2021,DTaP,접종자,252369.0,
2023,2세,2021,DTaP,접종률,94.8,
2023,2세,2021,HepB,접종자,257854.0,
2023,2세,2021,HepB,접종률,96.9,
2023,2세,2021,Hib,접종자,253697.0,
2023,2세,2021,Hib,접종률,95.3,
2023,2세,2021,IPV,접종자,258870.0,
2023,2세,2021,IPV,접종률,97.3,
2023,2세,2021,MMR,접종자,258298.0,
2023,2세,2021,MMR,접종률,97.1,
2023,2세,2021,PCV,접종자,255720.0,
2023,2세,2021,PCV,접종률,96.1,
2023,2세,2021,VAR,접종자,258190.0,
