국가(지역),동물인플루엔자인체감염증,에볼라바이러스병,중동호흡기증후군,페스트,콜레라,황열,마버그열,라싸열,크리미안콩고출혈열,폴리오,홍역,뎅기열,치쿤구니야열,지카바이러스감염증,니파바이러스감염증
가나,,,,,●,●,,,,,●,●,,,
가봉,,,,,,●,,,,,●,,,,
가이아나,,,,,,●,,,,,,●,●,,
감비아,,,,,,●,,,,,●,,,,
과들루프,,,,,,,,,,,,●,,,
과테말라,,,,,,,,,,,,●,●,●,
그레나다,,,,,,,,,,,,●,,,
그리스,,,,,,,,,●,,,,,,
기니,,,,,,●,,●,,,●,●,,,
기니비사우,,,,,,●,,,,,●,,,,
나미비아,,,,,●,,,,,,●,,,,
나우루,,,,,,,,,,,,●,,,
나이지리아,,,,,●,●,,●,,●,●,●,,,
남수단,,●,,,●,●,,,,●,●,,,,
남아프리카공화국,,,,,,,,,,,●,,,,
네덜란드,,,,,,,,,,,●,,,,
네팔,,,,,●,,,,,,●,●,,,
뉴칼레도니아,,,,,,,,,,,,●,,,
니제르,,,,,●,●,,,,,●,,,,
니카라과,,,,,,,,,,,,●,,,
대만,,,,,,,,,,,,●,,,
도미니카공화국,,,,,,,,,,,,●,,,
독일,,,,,,,,,,,●,,,,
동티모르,,,,,,,,,,,,●,,,
라오스,,,,,,,,,,●,●,●,,,
라이베리아,,,,,,●,,●,,,●,●,,,
러시아,,,,,,,,,,,●,,,,
레바논,,,●,,,,,,,,●,,,,
레소토,,,,,,,,,,,●,,,,
레위니옹,,,,,,,,,,,,●,●,,
루마니아,,,,,,,,,,,●,,,,
르완다,,●,,,●,,●,,,,●,,,,
리비아,,,,,,,,,,,●,,,,
마다가스카르,,,,●,,,,,,●,●,,●,,
마르티니크,,,,,,,,,,,,●,,,
마요트,,,,,,,,,,,,●,●,,
마이크로네시아,,,,,,,,,,,,●,,,
말라위,,,,,●,,,,,,●,,,,
말레이시아,,,,,,,,,,,●,●,●,,
말리,,,,,,●,,,,,●,●,,,
멕시코,,,,,,,,,,,●,●,●,●,
모로코,,,,,,,,,,,●,,,,
모리셔스,,,,,,,,,,,,●,●,,
모리타니,,,,,,●,,,,,●,●,,,
모잠비크,,,,,●,,,,,,●,,,,
몰도바,,,,,,,,,,,●,,,,
몰디브,,,,,,,,,,,,●,,●,
몽골,,,,●,,,,,,,●,,,,
미국,●,,,●,,,,,,,●,●,●,,
미국령버진아일랜드,,,,,,,,,,,,●,,,
미얀마,,,,,●,,,,,,,●,,,
바누아투,,,,,,,,,,,,●,,,
바레인,,,●,,,,,,,,,,,,
바베이도스,,,,,,,,,,,,●,●,,
방글라데시,●,,,,●,,,,,,,●,●,●,●
베냉,,,,,,●,,,,●,●,●,,,
베네수엘라,,,,,,●,,,,,,,,,
베트남,,,,,,,,,,,●,●,,,
벨기에,,,,,,,,,,,●,,,,
벨리즈,,,,,,,,,,,●,●,,,
보스니아헤르체고비나,,,,,,,,,,,●,,,,
보츠와나,,,,,,,,,,,●,,,,
볼리비아,,,,,,●,,,,,●,●,●,●,
부룬디,,●,,,●,●,,,,,●,,,,
부르키나파소,,,,,,●,,,,,●,●,,,
부탄,,,,,,,,,,,,●,,,
브라질,,,,,,●,,,,,,●,●,●,
사모아,,,,,,,,,,,,●,,,
사우디아라비아,,,●,,,,,,,,●,,,,
생바르텔르미,,,,,,,,,,,,●,,,
세네갈,,,,,,●,,,●,,●,●,●,,
세르비아,,,,,,,,,,,●,,,,
세이셸,,,,,,,,,,,,●,●,,
세인트루시아,,,,,,,,,,,,●,,,
세인트마틴,,,,,,,,,,,,●,,,
세인트빈센트그레나딘,,,,,,,,,,,,●,,,
세인트키츠네비스,,,,,,,,,,,,●,,,
소말리아,,,,,●,,,,,●,●,,●,,
솔로몬제도,,,,,,,,,,,,●,,,
수단,,,,,●,●,,,,●,●,●,,,
수리남,,,,,,●,,,,,,●,●,,
스리랑카,,,,,,,,,,,,●,●,,
스페인,,,,,,,,,,,●,,,,
시리아,,,●,,●,,,,,,●,,,,
시에라리온,,,,,,●,,,,,●,●,,,
신트마르턴,,,,,,,,,,,,●,,,
싱가포르,,,,,,,,,,,,●,,●,
아랍에미리트,,,●,,,,,,,,●,,,,
아루바,,,,,,,,,,,,●,,,
아르메니아,,,,,,,,,,,●,,,,
아르헨티나,,,,,,●,,,,,,●,●,●,
아이티,,,,,●,,,,,,,,,,
아프가니스탄,,,,,●,,,,●,●,●,●,,,
알제리,,,,,,,,,,,●,,,,
앙골라,,●,,,●,●,,,,●,●,●,,,
앤티가,,,,,,,,,,,,●,,,
앵귈라,,,,,,,,,,,,●,,,
에리트레아,,,,,,,,,,,●,●,,,
에콰도르,,,,,,●,,,,,,●,,,
에티오피아,,●,,,●,●,●,,,●,●,●,,,
엘살바도르,,,,,,,,,,,,●,●,●,
영국,,,,,,,,,,,●,,,,
영국령버진아일랜드,,,,,,,,,,,,●,,,
예멘,,,●,,●,,,,,●,●,,,,
오만,,,●,,,,,,,,,,,,
오스트레일리아,,,,,,,,,,,,●,,,
오스트리아,,,,,,,,,,,●,,,,
온두라스,,,,,,,,,,,,●,●,●,
왈리스푸투나,,,,,,,,,,,,●,,,
요르단,,,●,,,,,,,,,,,,
우간다,,●,,,●,●,●,,●,,●,,,,
우루과이,,,,,,,,,,,,●,,,
우즈베키스탄,,,,,,,,,,,●,,,,
우크라이나,,,,,,,,,,,●,,,,
이라크,,,●,,●,,,,●,,●,,,,
이란,,,●,,,,,,,,,●,,,
이스라엘,,,●,,,,,,,,●,,,,
이탈리아,,,,,,,,,,,●,●,●,,
인도,●,,,,●,,,,,,●,●,●,,●
인도네시아,●,,,,,,,,,,●,●,●,●,
자메이카,,,,,,,,,,,,●,,,
잠비아,,●,,,●,,,,,,●,,,,
적도기니,,,,,,●,,,,,●,,,,
조지아,,,,,,,,,,,●,,,,
중국,,,,,,,,,,,,●,●,,
중앙아프리카공화국,,●,,,,●,,,,●,●,,,,
지부티,,,,,,,,,,,●,,,,
짐바브웨,,,,,●,,,,,,,,,,
차드,,,,,●,●,,,,●,●,●,,,
칠레,,,,,,,,,,,,●,,,
카메룬,,,,,,●,,,,,●,●,,,
카보베르데,,,,,,,,,,,,●,,,
카자흐스탄,,,,,,,,,●,,●,,,,
카타르,,,●,,,,,,,,●,,,,
