ISO3,국가,지역,직항도착여객(환승제외),환승여객,도착편수,외국인입국자(국적),검역관리지역_종수,중점_종수,유입신고_건수,유입신고_질병,건수_백만직항여객당,건수_백만입국자당,국적/노선비
ABW,아루바,아메리카,,,,,1,0,0,,,,
AFG,아프가니스탄,아시아,,,,921,5,0,0,,,0.0,
AGO,앙골라,아프리카,,,,800,6,0,0,,,0.0,
AIA,앵귈라,아메리카,,,,,1,0,0,,,,
ALB,알바니아,유럽,,,,2611,0,0,0,,,0.0,
AND,안도라,유럽,,,,265,0,0,0,,,0.0,
ARE,아랍에미리트,아시아,928137,19088,3308,22489,2,1,0,,0.0,0.0,0.02
ARG,아르헨티나,아메리카,,,,24796,4,0,0,,,0.0,
ARM,아르메니아,아시아,,,,1137,1,0,0,,,0.0,
ATG,앤티가바부다,아메리카,,,,456,1,0,0,,,0.0,
AUS,오스트레일리아,오세아니아,1176901,78993,4435,686083,1,0,0,,0.0,0.0,0.58
AUT,오스트리아,유럽,114126,7780,481,44536,1,0,0,,0.0,0.0,0.39
AZE,아제르바이잔,아시아,,,,5723,0,0,0,,,0.0,
BDI,부룬디,아프리카,,,,1155,4,0,0,,,0.0,
BEL,벨기에,유럽,,,,56227,1,0,0,,,0.0,
BEN,베냉,아프리카,,,,413,4,0,0,,,0.0,
BFA,부르키나파소,아프리카,,,,352,3,0,1,말라리아(1),,2840.91,
BGD,방글라데시,아시아,16604,4,79,70953,6,2,1,수두(1),60.23,14.09,4.27
BGR,불가리아,유럽,,,,19885,0,0,0,,,0.0,
BHR,바레인,아시아,,,,2357,1,1,0,,,0.0,
BHS,바하마,아메리카,,,,742,0,0,0,,,0.0,
BIH,보스니아헤르체고비나,유럽,,,,720,1,0,0,,,0.0,
BLM,생바르텔르미,아메리카,,,,,1,0,0,,,,
BLR,벨라루스,유럽,,,,6481,0,0,0,,,0.0,
BLZ,벨리즈,아메리카,,,,260,2,0,0,,,0.0,
BOL,볼리비아,아메리카,,,,1524,5,0,0,,,0.0,
BRA,브라질,아메리카,,,,104878,4,0,1,뎅기열(1),,9.53,
BRB,바베이도스,아메리카,,,,437,2,0,0,,,0.0,
BRN,브루나이,아시아,38286,186,401,19423,0,0,0,,0.0,0.0,0.51
BTN,부탄,아시아,,,,1594,1,0,0,,,0.0,
BWA,보츠와나,아프리카,,,,719,1,0,0,,,0.0,
CAF,중앙아프리카공화국,아프리카,,,,142,4,0,0,,,0.0,
CAN,캐나다,아메리카,828583,516074,4875,733359,1,0,0,,0.0,0.0,0.89
CHE,스위스,유럽,105253,2910,458,77470,0,0,0,,0.0,0.0,0.74
CHL,칠레,아메리카,,,,22169,1,0,0,,,0.0,
CHN,중국,아시아,19618314,1572755,137367,14144326,2,1,19,C형간염(5); 수두(4); 매독(잠복)(2); A형간염(2); 유행성이하선염(1); 백일해(1); 카바페넴내성장내세균목(CRE) 감염증(1); 성홍열(1); 레지오넬라증(1); 매독(1기)(1),0.97,1.34,0.72
CIV,코트디부아르,아프리카,,,,1719,4,0,1,말라리아(1),,581.73,
