연도,지역,국가,도착편수,도착여객_전체,도착여객_환승
2024,대양주,괌,2245,418204,10043
2024,유럽,그리스,26,6359,1
2024,대양주,나우루,1,5,5
2024,유럽,네덜란드,545,152788,10891
2024,아시아,네팔,186,43420,19571
2024,유럽,노르웨이,24,5744,0
2024,대양주,뉴질랜드,306,71667,5198
2024,아시아,대만,12666,2503681,39317
2024,유럽,독일,1351,357116,16295
2024,아시아,라오스,1490,239269,3721
2024,유럽,러시아,2,523,0
2024,아시아,마카오,1683,248768,2632
2024,아시아,말레이시아,3475,700258,11666
2024,미주,멕시코,150,30313,1879
2024,아시아,몽골,2248,387457,53052
2024,미주,미국,9773,2693071,1050314
2024,아시아,미얀마,284,37031,3562
2024,아시아,방글라데시,45,10316,2
2024,아시아,베트남,27735,5413572,262419
2024,아시아,브루나이,157,13760,56
2024,기타,사우디아라비아,79,10840,291
2024,대양주,사이판,1144,189962,11685
2024,아시아,스리랑카,108,20773,669
2024,유럽,스위스,162,38257,824
2024,유럽,스페인,631,159856,5279
2024,아시아,싱가포르,4681,1125759,47867
2024,기타,아랍에미레이트,1369,380204,8288
2024,기타,에티오피아,314,38519,3000
2024,유럽,영국,687,176095,20853
2024,유럽,오스트리아,186,45909,2598
2024,기타,요르단,1,320,0
2024,유럽,우즈베키스탄,639,141911,17037
2024,기타,이집트,18,3841,16
2024,유럽,이탈리아,839,213012,12046
2024,아시아,인도,438,93195,14430
2024,아시아,인도네시아,2005,463568,38121
2024,일본,일본,66556,12641677,416194
2024,유럽,조지아,2,552,0
2024,중국,중국,49002,6947049,618893
2024,유럽,체코,188,46485,3441
2024,유럽,카자흐스탄,567,97222,14477
2024,기타,카타르,405,135501,3080
2024,아시아,캄보디아,1087,196653,47054
2024,미주,캐나다,1702,478263,194105
2024,유럽,크로아티아,71,20064,183
2024,유럽,키르기즈스탄,91,11868,1477
2024,아시아,태국,10686,2308174,172049
2024,유럽,튀르키예,990,282358,7323
2024,유럽,포르투칼,47,10839,297
2024,유럽,폴란드,300,68437,1293
2024,유럽,프랑스,1101,319257,18587
2024,유럽,핀란드,354,92841,1914
2024,아시아,필리핀,12756,2352042,312204
2024,대양주,하와이,927,231711,42526
2024,기타,한국,1,138,0
2024,유럽,헝가리,323,75623,2771
2024,대양주,호주,1746,476983,35384
2024,아시아,홍콩,7463,1468285,97497
2025,대양주,괌,2988,431914,12444
2025,유럽,네덜란드,557,156797,11319
2025,아시아,네팔,114,25776,11148
2025,유럽,노르웨이,10,2761,58
2025,대양주,뉴질랜드,293,71410,5045
2025,아시아,대만,14537,2927420,35711
2025,유럽,덴마크,53,13403,106
2025,유럽,독일,1377,361121,12497
2025,아시아,라오스,1062,163042,3146
2025,유럽,러시아,4,1113,0
2025,기타,레바논,2,293,0
2025,아시아,마카오,1656,246028,1053
2025,아시아,말레이시아,3382,650294,13648
2025,미주,멕시코,337,67472,4227
2025,아시아,몽골,2389,402032,53457
2025,미주,미국,10498,2799583,1069929
2025,아시아,미얀마,255,31355,1828
2025,아시아,방글라데시,23,4518,2
2025,아시아,베트남,26582,5224652,240432
2025,아시아,브루나이,157,15263,62
2025,대양주,사이판,784,114924,6725
2025,기타,수단,2,254,0
2025,아시아,스리랑카,108,22214,706
2025,유럽,스위스,190,43743,1053
2025,유럽,스페인,679,169886,9864
2025,아시아,싱가포르,5088,1148361,45521
2025,기타,아랍에미레이트,1423,409582,8760
2025,기타,에티오피아,310,37951,3177
2025,유럽,영국,702,172395,17768
2025,유럽,오스트리아,186,47472,2774
2025,유럽,우즈베키스탄,835,164649,19263
2025,기타,이라크,1,62,0
2025,기타,이집트,26,7388,57
2025,유럽,이탈리아,885,226238,10622
2025,아시아,인도,403,88811,9446
2025,아시아,인도네시아,2838,592744,52219
2025,일본,일본,74052,13749446,449525
2025,유럽,조지아,4,1119,0
2025,중국,중국,54269,8454425,532535
2025,유럽,체코,304,81242,5108
2025,유럽,카자흐스탄,739,113971,12765
2025,기타,카타르,413,140938,3296
2025,아시아,캄보디아,1045,180895,39906
2025,미주,캐나다,1949,526165,190618
2025,유럽,크로아티아,61,12406,782
2025,유럽,키르기즈스탄,127,14646,2551
2025,아시아,태국,9574,2065866,183409
2025,유럽,투르크매니스탄,25,3321,19
