연도,주차,검체수,노로_건수,노로_검출률,그룹A로타_건수,그룹A로타_검출률,장내아데노_건수,장내아데노_검출률,아스트로_건수,아스트로_검출률,사포_건수,사포_검출률,합계_건수,합계_검출률,출처호
2023,48,48,10,20.8,1,2.1,0,0.0,0,0.0,0,0.0,11,22.9,17-1
2023,49,44,13,29.5,1,2.3,2,4.5,0,0.0,1,2.3,17,38.6,17-2
2023,50,52,21,40.4,3,5.8,0,0.0,0,0.0,0,0.0,24,46.2,17-2
2023,51,52,22,42.3,1,1.9,0,0.0,0,0.0,0,0.0,23,44.2,17-2
2023,52,52,31,59.6,2,3.8,0,0.0,0,0.0,0,0.0,33,63.5,17-2
2024,2,72,39,54.2,2,2.8,1,1.4,0,0.0,1,1.4,43,59.7,17-6
2024,3,71,33,46.5,1,1.4,0,0.0,0,0.0,0,0.0,34,47.9,17-6
2024,4,67,45,67.2,3,4.5,0,0.0,1,1.5,2,3.0,51,76.1,17-6
2024,5,57,35,61.4,2,3.5,1,1.8,1,1.8,0,0.0,39,68.4,17-6
2024,6,65,24,36.9,3,4.6,1,1.5,0,0.0,0,0.0,28,43.1,17-10
2024,7,57,32,56.1,1,1.8,1,1.8,2,3.5,0,0.0,36,63.2,17-10
2024,8,48,25,52.1,0,0.0,0,0.0,0,0.0,0,0.0,25,52.1,17-10
2024,9,47,14,29.8,1,2.1,0,0.0,0,0.0,1,2.1,16,34.0,17-10
2024,10,52,19,36.5,3,5.8,0,0.0,0,0.0,2,3.8,24,46.2,17-14
2024,11,48,20,41.7,2,4.2,1,2.1,0,0.0,1,2.1,24,50.0,17-14
2024,12,60,26,43.3,2,3.3,0,0.0,0,0.0,0,0.0,28,46.7,17-14
2024,13,56,24,42.9,3,5.4,1,1.8,0,0.0,1,1.8,29,51.8,17-14
2024,14,62,18,29.0,3,4.8,0,0.0,0,0.0,1,1.6,22,35.5,17-18
2024,15,66,26,39.4,2,3.0,0,0.0,0,0.0,1,1.5,29,43.9,17-18
2024,16,46,17,37.0,3,6.5,0,0.0,1,2.2,0,0.0,21,45.7,17-18
2024,17,42,12,28.6,3,7.1,0,0.0,0,0.0,0,0.0,15,35.7,17-18
2024,18,53,16,30.2,2,3.8,1,1.9,0,0.0,1,1.9,20,37.7,17-22
2024,19,63,7,11.1,2,3.2,0,0.0,1,1.6,2,3.2,12,19.0,17-22
2024,20,53,9,17.0,3,5.7,3,5.7,0,0.0,0,0.0,15,28.3,17-22
2024,21,46,5,10.9,2,4.3,1,2.2,2,4.3,0,0.0,10,21.7,17-22
2024,22,49,4,8.2,0,0.0,0,0.0,1,2.0,1,2.0,6,12.2,17-26
2024,23,45,8,17.8,2,4.4,1,2.2,0,0.0,0,0.0,11,24.4,17-26
2024,24,46,3,6.5,1,2.2,0,0.0,0,0.0,1,2.2,5,10.9,17-26
2024,25,38,1,2.6,0,0.0,2,5.3,1,2.6,0,0.0,4,10.5,17-26
2024,26,63,4,6.3,2,3.2,2,3.2,6,9.5,1,1.6,15,23.8,17-30
2024,27,69,3,4.3,2,2.9,1,1.4,3,4.3,3,4.3,12,17.4,17-30
2024,28,64,6,9.4,1,1.6,1,1.6,4,6.3,1,1.6,13,20.3,17-30
2024,29,48,2,4.2,1,2.1,1,2.1,6,12.5,1,2.1,11,22.9,17-30
2024,30,49,0,0.0,0,0.0,1,2.0,1,2.0,3,6.1,5,10.2,17-34
2024,31,64,1,1.6,1,1.6,3,4.7,1,1.6,3,4.7,9,14.1,17-34
2024,32,65,0,0.0,0,0.0,5,7.7,3,4.6,0,0.0,8,12.3,17-36
2024,33,41,0,0.0,1,2.4,2,4.9,1,2.4,0,0.0,4,9.8,17-36
2024,34,55,0,0.0,0,0.0,0,0.0,5,9.1,1,1.8,6,10.9,17-36
2024,35,36,0,0.0,1,2.8,3,8.3,3,8.3,0,0.0,7,19.4,17-38
2024,36,58,2,3.4,0,0.0,3,5.2,6,10.3,3,5.2,14,24.1,17-38
2024,37,43,2,4.7,0,0.0,1,2.3,1,2.3,3,7.0,7,16.3,17-38
2024,38,39,0,0.0,1,2.6,6,15.4,4,10.3,3,7.7,14,35.9,17-38
2024,39,48,2,4.2,0,0.0,4,8.3,3,6.3,0,0.0,9,18.8,17-42
2024,40,50,1,2.0,2,4.0,3,6.0,0,0.0,1,2.0,7,14.0,17-42
2024,41,37,0,0.0,0,0.0,2,5.4,0,0.0,1,2.7,3,8.1,17-42
2024,42,33,1,3.0,0,0.0,3,9.1,3,9.1,1,3.0,8,24.2,17-42
2024,43,49,1,2.0,0,0.0,1,2.0,1,2.0,0,0.0,3,6.1,17-46
2024,44,36,0,0.0,0,0.0,3,8.3,0,0.0,2,5.6,5,13.9,17-46
2024,45,36,4,11.1,1,2.8,3,8.3,4,11.1,1,2.8,13,36.1,17-46
2024,46,30,3,10.0,0,0.0,5,16.7,1,3.3,0,0.0,9,30.0,17-46
2024,47,27,5,18.5,1,3.7,2,7.4,0,0.0,1,3.7,9,33.3,17-50
2024,48,46,11,23.9,1,2.2,3,6.5,2,4.3,2,4.3,19,41.3,17-50
2024,49,41,9,22.0,0,0.0,1,2.4,0,0.0,1,2.4,11,26.8,18-2
2024,50,38,10,26.3,1,2.6,7,18.4,0,0.0,0,0.0,18,47.4,18-2
2024,51,44,11,25.0,2,4.5,2,4.5,0,0.0,1,2.3,16,36.4,18-2
2024,52,38,13,34.2,0,0.0,5,13.2,0,0.0,0,0.0,18,47.4,18-2
2025,2,51,20,39.2,2,3.9,1,2.0,0,0.0,0,0.0,23,45.1,18-6
2025,3,64,31,48.4,0,0.0,1,1.6,0,0.0,0,0.0,32,50.0,18-6
2025,4,97,52,53.6,3,3.1,4,4.1,0,0.0,0,0.0,59,60.8,18-6
2025,5,67,37,55.2,0,0.0,3,4.5,1,1.5,1,1.5,42,62.7,18-6
2025,6,87,46,52.9,5,5.7,2,2.3,0,0.0,0,0.0,53,60.9,18-10
2025,7,85,47,55.3,2,2.4,4,4.7,2,2.4,0,0.0,55,64.7,18-10
2025,8,89,48,53.9,5,5.6,6,6.7,1,1.1,0,0.0,60,67.4,18-10
2025,9,87,57,65.5,7,8.0,4,4.6,2,2.3,1,1.1,71,81.6,18-10
2025,10,68,30,44.1,5,7.4,1,1.5,3,4.4,0,0.0,39,57.4,18-14
2025,11,90,39,43.3,12,13.3,2,2.2,1,1.1,0,0.0,54,60.0,18-14
2025,12,97,40,41.2,10,10.3,5,5.2,1,1.0,1,1.0,57,58.8,18-14
2025,13,74,30,40.5,10,13.5,1,1.4,3,4.1,0,0.0,44,59.5,18-14
2025,14,90,44,48.9,11,12.2,4,4.4,1,1.1,1,1.1,61,67.8,18-18
2025,15,75,35,46.7,1,1.3,3,4.0,3,4.0,0,0.0,42,56.0,18-18
2025,16,68,25,36.8,3,4.4,7,10.3,1,1.5,1,1.5,37,54.4,18-18
2025,17,49,11,22.4,2,4.1,3,6.1,0,0.0,0,0.0,16,32.7,18-18
2025,18,81,21,25.9,1,1.2,7,8.6,1,1.2,0,0.0,30,37.0,18-22
2025,19,56,15,26.8,1,1.8,3,5.4,0,0.0,0,0.0,19,33.9,18-22
2025,20,57,16,28.1,4,7.0,3,5.3,1,1.8,0,0.0,24,42.1,18-22
2025,21,69,17,24.6,3,4.3,2,2.9,1,1.4,3,4.3,26,37.7,18-22
2025,22,64,9,14.1,0,0.0,3,4.7,1,1.6,1,1.6,14,21.9,18-26
2025,23,78,18,23.1,1,1.3,3,3.8,0,0.0,2,2.6,24,30.8,18-26
2025,24,69,5,7.2,2,2.9,3,4.3,3,4.3,3,4.3,16,23.2,18-26
2025,25,68,12,17.6,1,1.5,0,0.0,2,2.9,3,4.4,18,26.5,18-26
2025,26,59,4,6.8,2,3.4,0,0.0,1,1.7,0,0.0,7,11.9,18-30
2025,27,84,5,6.0,3,3.6,1,1.2,5,6.0,3,3.6,17,20.2,18-30
2025,28,64,2,3.1,0,0.0,2,3.1,1,1.6,0,0.0,5,7.8,18-30
2025,29,54,3,5.6,0,0.0,2,3.7,1,1.9,2,3.7,8,14.8,18-30
2025,30,75,3,4.0,2,2.7,6,8.0,2,2.7,1,1.3,14,18.7,18-34
2025,31,92,2,2.2,1,1.1,4,4.3,3,3.3,4,4.3,14,15.2,18-34
2025,32,72,4,5.6,0,0.0,4,5.6,1,1.4,1,1.4,10,13.9,18-34
2025,33,70,1,1.4,0,0.0,0,0.0,4,5.7,2,2.9,7,10.0,18-34
2025,34,85,3,3.5,0,0.0,2,2.4,3,3.5,7,8.2,15,17.6,18-38
2025,35,83,4,4.8,0,0.0,1,1.2,6,7.2,4,4.8,15,18.1,18-38
2025,36,86,1,1.2,0,0.0,1,1.2,6,7.0,5,5.8,13,15.1,18-38
2025,37,55,1,1.8,0,0.0,1,1.8,5,9.1,4,7.3,11,20.0,18-38
2025,39,85,2,2.4,0,0.0,2,2.4,4,4.7,3,3.5,11,12.9,18-42
2025,40,57,3,5.3,1,1.8,1,1.8,3,5.3,1,1.8,9,15.8,18-42
2025,41,66,3,4.5,0,0.0,2,3.0,0,0.0,2,3.0,7,10.6,18-42
2025,42,53,2,3.8,1,1.9,1,1.9,7,13.2,0,0.0,11,20.8,18-42
2025,43,45,2,4.4,0,0.0,1,2.2,2,4.4,0,0.0,5,11.1,18-46
2025,44,54,2,3.7,6,11.1,1,1.9,1,1.9,0,0.0,10,18.5,18-46
2025,45,36,1,2.8,1,2.8,1,2.8,1,2.8,0,0.0,4,11.1,18-46
2025,46,37,2,5.4,0,0.0,1,2.7,1,2.7,1,2.7,5,13.5,18-46
2025,47,45,6,13.3,3,6.7,0,0.0,1,2.2,0,0.0,10,22.2,18-50
2025,48,32,6,18.8,0,0.0,1,3.1,2,6.3,0,0.0,9,28.1,18-50
2025,49,34,4,11.8,1,2.9,1,2.9,1,2.9,0,0.0,7,20.6,18-50
2025,50,47,15,31.9,2,4.3,0,0.0,0,0.0,2,4.3,19,40.4,19-2
2025,51,43,14,32.6,2,4.7,1,2.3,1,2.3,0,0.0,18,41.9,19-2
2025,52,71,30,42.3,4,5.6,2,2.8,1,1.4,0,0.0,37,52.1,19-2
2026,1,71,38,53.5,5,7.0,0,0.0,3,4.2,0,0.0,46,64.8,19-2
2026,2,98,48,49.0,5,5.1,0,0.0,2,2.0,1,1.0,56,57.1,19-6
2026,3,106,51,48.1,5,4.7,1,0.9,0,0.0,0,0.0,57,53.8,19-6
2026,4,92,43,46.7,6,6.5,1,1.1,1,1.1,0,0.0,51,55.4,19-6
2026,5,88,43,48.9,10,11.4,0,0.0,0,0.0,0,0.0,53,60.2,19-6
2026,7,100,49,49.0,11,11.0,1,1.0,2,2.0,0,0.0,63,63.0,19-10
2026,8,69,28,40.6,4,5.8,3,4.3,0,0.0,0,0.0,35,50.7,19-10
2026,9,67,25,37.3,3,4.5,0,0.0,0,0.0,1,1.5,29,43.3,19-10
2026,10,53,17,32.1,6,11.3,0,0.0,1,1.9,0,0.0,24,45.3,19-10
2026,11,69,27,39.1,1,1.4,0,0.0,0,0.0,0,0.0,28,40.6,19-14
2026,12,72,25,34.7,4,5.6,0,0.0,3,4.2,1,1.4,33,45.8,19-14
2026,13,71,34,47.9,5,7.0,3,4.2,2,2.8,2,2.8,46,64.8,19-14
2026,14,68,27,39.7,0,0.0,2,2.9,4,5.9,0,0.0,33,48.5,19-14
2026,15,61,17,27.9,3,4.9,2,3.3,1,1.6,0,0.0,23,37.7,19-18
2026,16,64,26,40.6,2,3.1,2,3.1,3,4.7,0,0.0,33,51.6,19-18
2026,17,62,16,25.8,3,4.8,4,6.5,0,0.0,0,0.0,23,37.1,19-18
2026,18,70,29,41.4,2,2.9,5,7.1,1,1.4,0,0.0,37,52.9,19-18
2026,19,67,21,31.3,2,3.0,2,3.0,1,1.5,0,0.0,26,38.8,19-22
2026,20,85,28,32.9,5,5.9,3,3.5,1,1.2,1,1.2,38,44.7,19-22
