연도,주차,검체수,살모넬라_건수,살모넬라_분리율,병원성대장균_건수,병원성대장균_분리율,세균성이질_건수,세균성이질_분리율,장염비브리오_건수,장염비브리오_분리율,비브리오콜레라_건수,비브리오콜레라_분리율,캄필로박터_건수,캄필로박터_분리율,클로스트리듐퍼프린젠스_건수,클로스트리듐퍼프린젠스_분리율,황색포도알균_건수,황색포도알균_분리율,바실루스세레우스_건수,바실루스세레우스_분리율,합계_건수,합계_분리율,출처호
2023,48,202,7,3.5,6,3.0,0,0.0,0,0.0,0,0.0,2,1.0,4,2.0,6,3.0,5,2.5,30,14.9,17-1
2023,49,208,3,1.4,7,3.7,0,0.0,0,0.0,0,0.0,2,1.0,7,3.4,4,1.9,1,0.5,24,11.5,17-2
2023,50,233,0,0.0,7,3.0,0,0.0,0,0.0,0,0.0,1,0.4,2,0.9,4,1.7,5,2.1,19,8.2,17-2
2023,51,221,4,1.8,2,0.9,0,0.0,0,0.0,0,0.0,2,0.9,4,1.8,4,1.8,4,1.8,20,9.0,17-2
2023,52,188,1,0.5,2,1.1,0,0.0,0,0.0,0,0.0,0,0.0,4,2.1,7,3.7,2,1.1,16,8.5,17-2
2024,2,250,3,1.2,5,2.0,0,0.0,0,0.0,0,0.0,1,0.4,5,2.0,5,2.0,1,0.4,20,8.0,17-6
2024,3,281,2,0.7,7,2.5,0,0.0,0,0.0,0,0.0,4,1.4,5,1.8,6,2.1,5,1.8,29,10.3,17-6
2024,4,271,1,0.4,12,4.4,0,0.0,1,0.4,0,0.0,0,0.0,6,2.2,8,3.0,0,0.0,29,10.7,17-6
2024,5,186,0,0.0,12,6.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,5,2.7,4,2.2,24,12.9,17-6
2024,6,211,1,0.5,9,4.3,0,0.0,0,0.0,0,0.0,1,0.5,3,1.4,5,2.4,3,1.4,22,10.4,17-10
2024,7,236,1,0.4,3,1.3,0,0.0,0,0.0,0,0.0,1,0.4,1,0.4,4,1.7,5,2.1,16,6.8,17-10
2024,9,136,1,0.7,2,1.5,0,0.0,0,0.0,0,0.0,0,0.0,2,1.5,6,4.4,2,1.5,13,9.6,17-10
2024,10,215,3,1.4,7,3.3,0,0.0,0,0.0,0,0.0,0,0.0,6,2.8,7,3.3,1,0.5,24,11.2,17-14
2024,11,222,5,2.3,4,1.8,0,0.0,0,0.0,0,0.0,0,0.0,5,2.3,8,3.6,6,2.7,28,12.6,17-14
2024,12,210,3,1.4,3,1.4,0,0.0,0,0.0,0,0.0,1,0.5,2,1.0,7,3.3,2,1.0,18,8.6,17-14
2024,13,168,0,0.0,4,2.4,0,0.0,0,0.0,0,0.0,0,0.0,5,3.0,5,3.0,2,1.2,16,9.5,17-14
2024,14,218,6,2.8,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,6,2.8,6,2.8,3,1.4,22,10.1,17-18
2024,15,228,4,1.8,9,3.9,0,0.0,0,0.0,0,0.0,2,0.9,4,1.8,6,2.6,3,1.3,29,12.7,17-18
2024,16,189,6,3.2,5,2.6,0,0.0,0,0.0,0,0.0,3,1.6,1,0.5,3,1.6,2,1.1,20,10.6,17-18
2024,17,129,6,4.7,4,3.1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8,2,1.6,2,1.6,15,11.6,17-18
2024,18,214,7,3.3,4,1.9,0,0.0,0,0.0,0,0.0,1,0.5,4,1.9,2,0.9,10,4.7,29,13.6,17-22
2024,19,247,4,1.6,11,4.5,0,0.0,0,0.0,0,0.0,1,0.4,5,2.0,4,1.6,3,1.2,28,11.3,17-22
2024,20,212,5,2.4,6,2.8,0,0.0,0,0.0,0,0.0,2,0.9,3,1.4,7,3.3,9,4.2,33,15.6,17-22
2024,21,172,5,2.9,9,5.2,0,0.0,0,0.0,0,0.0,1,0.6,5,2.9,2,1.2,9,5.2,31,18.0,17-22
2024,22,216,6,2.8,10,4.6,0,0.0,0,0.0,0,0.0,2,0.9,3,1.4,3,1.4,8,3.7,32,14.8,17-26
2024,23,242,5,2.1,8,3.3,0,0.0,0,0.0,0,0.0,3,1.2,4,1.7,3,1.2,7,2.9,30,12.4,17-26
