주차,금주_건수,금주_환자수,누적_건수,누적_환자수,출처호
52,19,392,603,12005,17-1
1,13,138,13,138,17-2
6,9,213,72,942,17-6
10,11,216,106,1496,17-10
14,7,224,161,2611,17-14
18,12,402,208,4488,17-18
22,15,228,257,5136,17-22
26,5,77,284,5852,17-26
30,10,89,332,6673,17-30
34,12,399,380,8441,17-34
36,6,132,402,8886,17-36
39,12,466,430,10099,17-38
43,8,248,448,10338,17-42
47,6,163,476,10869,17-46
51,13,286,525,12829,17-50
1,3,52,3,52,18-2
6,14,167,73,1177,18-6
10,10,287,133,2113,18-10
14,15,219,191,2967,18-14
18,6,57,236,3816,18-18
22,15,448,280,5507,18-22
26,11,218,332,6461,18-26
30,10,116,378,7716,18-30
34,15,138,425,8746,18-34
38,17,687,493,11366,18-38
47,10,91,567,12910,18-46
51,11,130,607,13305,18-50
2,16,125,26,222,19-2
6,15,235,93,1168,19-6
11,15,204,146,2376,19-10
15,20,277,218,4308,19-14
19,12,132,309,5949,19-18
23,11,426,386,9061,19-22
27,13,160,451,11572,19-26
31,9,55,510,12622,19-30
35,11,114,549,13669,19-34
