감염병,연도,신고수,출처호
A형간염,2018,2437,17-1
A형간염,2019,17598,17-50
A형간염,2020,3989,18-50
A형간염,2021,6583,19-34
A형간염,2022,1890,19-34
A형간염,2023,1324,19-34
A형간염,2024,1168,19-34
A형간염,2025,1141,19-34
B형간염,2018,392,17-1
B형간염,2019,389,17-50
B형간염,2020,382,18-50
B형간염,2021,453,19-34
B형간염,2022,332,19-34
B형간염,2023,315,19-34
B형간염,2024,315,19-34
B형간염,2025,315,19-34
C형간염,2018,10811,17-1
C형간염,2019,9810,17-50
C형간염,2020,11849,18-50
C형간염,2021,10116,19-34
C형간염,2022,8308,19-34
C형간염,2023,7249,19-34
C형간염,2024,6444,19-34
C형간염,2025,5639,19-34
E형간염,2018,,17-1
E형간염,2019,,17-50
E형간염,2020,191,18-50
E형간염,2021,494,19-34
E형간염,2022,528,19-34
E형간염,2023,572,19-34
E형간염,2024,756,19-34
E형간염,2025,915,19-34
결핵,2018,26433,17-1
결핵,2019,23821,17-50
결핵,2020,25350,18-50
결핵,2021,22904,19-34
결핵,2022,20383,19-34
결핵,2023,19540,19-34
결핵,2024,17944,19-34
결핵,2025,17070,19-34
뎅기열,2018,159,17-1
뎅기열,2019,273,17-50
뎅기열,2020,43,18-50
뎅기열,2021,3,19-34
뎅기열,2022,103,19-34
뎅기열,2023,206,19-34
뎅기열,2024,196,19-34
뎅기열,2025,110,19-34
라임병,2018,23,17-1
라임병,2019,23,17-50
라임병,2020,18,18-50
라임병,2021,8,19-34
라임병,2022,22,19-34
라임병,2023,45,19-34
라임병,2024,34,19-34
라임병,2025,41,19-34
러시아(1) 말라리아,2020,385,18-14
러시아(1) 말라리아,2021,294,18-14
러시아(1) 말라리아,2022,420,18-14
러시아(1) 말라리아,2023,747,18-14
러시아(1) 말라리아,2024,713,18-14
레지오넬라증,2018,305,17-1
레지오넬라증,2019,501,17-46
레지오넬라증,2020,368,18-50
레지오넬라증,2021,383,19-34
레지오넬라증,2022,415,19-34
레지오넬라증,2023,476,19-34
레지오넬라증,2024,452,19-34
레지오넬라증,2025,640,19-34
렙토스피라증,2018,118,17-1
렙토스피라증,2019,138,17-50
렙토스피라증,2020,114,18-50
렙토스피라증,2021,144,19-34
렙토스피라증,2022,125,19-34
렙토스피라증,2023,59,19-34
렙토스피라증,2024,70,19-34
렙토스피라증,2025,53,19-34
말라리아,2018,576,17-1
말라리아,2019,559,17-50
말라리아,2020,385,18-50
말라리아,2021,294,19-34
말라리아,2022,420,19-34
말라리아,2023,747,19-34
말라리아,2024,713,19-34
말라리아,2025,601,19-34
매독,2019,,17-50
매독,2020,,18-50
매독,2021,,19-34
매독,2022,,19-34
매독,2023,,19-34
매독,2024,2790,19-34
매독,2025,2211,19-34
매독(1기),2019,,17-50
매독(1기),2020,,18-50
매독(1기),2021,,19-34
매독(1기),2022,,19-34
매독(1기),2023,,19-34
매독(1기),2024,983,19-34
매독(1기),2025,721,19-34
매독(2기),2019,,17-50
매독(2기),2020,,18-50
매독(2기),2021,,19-34
매독(2기),2022,,19-34
매독(2기),2023,,19-34
매독(2기),2024,524,19-34
매독(2기),2025,449,19-34
매독(3기),2019,,17-50
매독(3기),2020,,18-50
매독(3기),2021,,19-34
매독(3기),2022,,19-34
매독(3기),2023,,19-34
매독(3기),2024,51,19-34
매독(3기),2025,50,19-34
매독(선천성),2019,,17-50
매독(선천성),2020,,18-50
매독(선천성),2021,,19-34
매독(선천성),2022,,19-34
매독(선천성),2023,,19-34
매독(선천성),2024,12,19-34
매독(선천성),2025,12,19-34
매독(잠복),2019,,17-50
매독(잠복),2020,,18-50
매독(잠복),2021,,19-34
매독(잠복),2022,,19-34
매독(잠복),2023,,19-34
매독(잠복),2024,1220,19-34
매독(잠복),2025,979,19-34
반코마이신내성황색 포도알균(VRSA) 감염증,2018,0,17-1
반코마이신내성황색 포도알균(VRSA) 감염증,2019,3,17-50
반코마이신내성황색 포도알균(VRSA) 감염증,2020,9,17-50
반코마이신내성황색 포도알균(VRSA) 감염증,2021,2,17-50
반코마이신내성황색 포도알균(VRSA) 감염증,2022,1,17-50
반코마이신내성황색 포도알균(VRSA) 감염증,2023,2,17-50
반코마이신내성황색포도알 균(VRSA) 감염증,2020,9,18-2
반코마이신내성황색포도알 균(VRSA) 감염증,2021,2,18-2
반코마이신내성황색포도알 균(VRSA) 감염증,2022,1,18-2
반코마이신내성황색포도알 균(VRSA) 감염증,2023,2,18-2
반코마이신내성황색포도알 균(VRSA) 감염증,2024,1,18-2
반코마이신내성황색포도알균(VRSA) 감염증,2020,9,18-50
반코마이신내성황색포도알균(VRSA) 감염증,2021,3,19-34
반코마이신내성황색포도알균(VRSA) 감염증,2022,1,19-34
반코마이신내성황색포도알균(VRSA) 감염증,2023,2,19-34
반코마이신내성황색포도알균(VRSA) 감염증,2024,1,19-34
반코마이신내성황색포도알균(VRSA) 감염증,2025,2,19-34
발진열,2018,16,17-1
발진열,2019,14,17-50
발진열,2020,1,18-50
발진열,2021,9,19-34
발진열,2022,4,19-34
발진열,2023,21,19-34
발진열,2024,60,19-34
발진열,2025,16,19-34
백일해,2018,980,17-1
백일해,2019,496,17-50
백일해,2020,123,18-50
백일해,2021,21,19-34
백일해,2022,31,19-34
백일해,2023,292,19-34
백일해,2024,48048,19-34
백일해,2025,5491,19-34
브루셀라증,2018,5,17-1
브루셀라증,2019,1,17-50
브루셀라증,2020,8,18-50
브루셀라증,2021,4,19-34
브루셀라증,2022,5,19-34
브루셀라증,2023,5,19-34
브루셀라증,2024,5,19-34
브루셀라증,2025,4,19-34
비브리오패혈증,2018,47,17-1
비브리오패혈증,2019,42,17-50
비브리오패혈증,2020,70,18-50
비브리오패혈증,2021,52,19-34
비브리오패혈증,2022,46,19-34
비브리오패혈증,2023,69,19-34
비브리오패혈증,2024,49,19-34
비브리오패혈증,2025,68,19-34
성홍열,2018,15777,17-1
성홍열,2019,7562,17-50
성홍열,2020,2300,18-50
성홍열,2021,678,19-34
성홍열,2022,505,19-34
성홍열,2023,815,19-34
성홍열,2024,6642,19-34
성홍열,2025,13113,19-34
세균성이질,2018,191,17-1
세균성이질,2019,151,17-50
세균성이질,2020,29,18-50
세균성이질,2021,18,19-34
세균성이질,2022,31,19-34
세균성이질,2023,37,19-34
세균성이질,2024,41,19-34
세균성이질,2025,64,19-34
수두,2018,96467,17-1
수두,2019,82868,17-50
수두,2020,31430,18-50
수두,2021,20929,19-34
수두,2022,18547,19-34
수두,2023,26964,19-34
수두,2024,31892,19-34
수두,2025,30248,19-34
수막구균 감염증,2018,14,17-1
수막구균 감염증,2019,16,17-50
수막구균 감염증,2020,5,18-50
수막구균 감염증,2021,2,19-34
수막구균 감염증,2022,3,19-34
수막구균 감염증,2023,11,19-34
수막구균 감염증,2024,17,19-34
수막구균 감염증,2025,12,19-34
신증후군출혈열,2018,433,17-1
신증후군출혈열,2019,399,17-50
신증후군출혈열,2020,270,18-50
신증후군출혈열,2021,310,19-34
신증후군출혈열,2022,302,19-34
신증후군출혈열,2023,452,19-34
신증후군출혈열,2024,373,19-34
신증후군출혈열,2025,230,19-34
엠폭스(원숭이두창),2018,,17-1
엠폭스(원숭이두창),2019,,17-50
엠폭스(원숭이두창),2020,,18-50
엠폭스(원숭이두창),2021,,19-34
