급,감염병명,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,비고
제1급,에볼라바이러스병,-,-,-,-,0,0,0,0,0,0,
제1급,마버그열,-,-,-,-,0,0,0,0,0,0,
제1급,라싸열,-,-,-,-,0,0,0,0,0,0,
제1급,크리미안콩고출혈열,-,-,-,-,0,0,0,0,0,0,
제1급,남아메리카출혈열,-,-,-,-,0,0,0,0,0,0,
제1급,리프트밸리열,-,-,-,-,0,0,0,0,0,0,
제1급,두창,0,0,0,0,0,0,0,0,0,0,
제1급,페스트,0,0,0,0,0,0,0,0,0,0,
제1급,탄저,0,0,0,0,0,0,0,0,0,0,
제1급,보툴리눔독소증,0,0,0,1,1,0,0,1,0,0,
제1급,야토병,0,0,0,0,0,0,0,0,0,0,
제1급,신종감염병증후군,0,0,0,0,60722,569943,0,0,0,0,2020-2021 코로나19가 이 항목으로 신고됨(고시 2022.4.5 개정으로 제2급 코로나19로 이관)
제1급,중증급성호흡기증후군(SARS),0,0,0,0,0,0,0,0,0,0,
제1급,중동호흡기증후군(MERS),0,0,1,0,0,0,0,0,0,0,
제1급,동물인플루엔자 인체감염증,0,0,0,0,0,0,0,0,0,0,
제1급,신종인플루엔자,0,0,0,0,0,0,0,0,0,0,
제1급,디프테리아,0,0,0,0,0,0,0,0,0,0,
제1급,니파바이러스감염증,-,-,-,-,-,-,-,-,-,0,2025.9.8 고시 신규 지정. 2025 통계는 9.8 이후분
제2급,결핵,39245,36044,33796,30304,25350,22904,20383,19540,17944,17070,
제2급,수두,54060,80092,96467,82868,31430,20929,18547,26964,31892,30248,
제2급,홍역,18,7,15,194,6,0,0,8,49,78,
제2급,콜레라,4,5,2,1,0,0,0,0,0,0,
제2급,장티푸스,121,128,213,94,39,61,38,19,34,33,
제2급,파라티푸스,56,73,47,55,58,29,31,22,23,24,
제2급,세균성이질,113,112,191,151,29,18,31,37,41,64,
제2급,장출혈성대장균감염증,104,138,121,146,270,165,211,216,274,531,
제2급,A형간염,4679,4419,2437,17598,3989,6583,1890,1324,1168,1141,
제2급,백일해,129,318,980,496,123,21,31,292,48048,5491,
