연도,주차,기준일,급,감염병,금주신고수,연누계,5년주별평균,예년대비배수,열부분추출,출처호
2023,52,2023-12-30,2,결핵,305,15920,291.0,1.05,,17-1
2023,52,2023-12-30,2,수두,656,26801,1376.0,0.48,,17-1
2023,52,2023-12-30,2,홍역,0,8,0.0,,,17-1
2023,52,2023-12-30,2,콜레라,0,0,0.0,,,17-1
2023,52,2023-12-30,2,장티푸스,2,21,2.0,1.0,,17-1
2023,52,2023-12-30,2,파라티푸스,3,28,1.0,3.0,,17-1
2023,52,2023-12-30,2,세균성이질,0,37,2.0,0.0,,17-1
2023,52,2023-12-30,2,장출혈성대장균감염증,1,217,1.0,1.0,,17-1
2023,52,2023-12-30,2,A형간염,24,1315,60.0,0.4,,17-1
2023,52,2023-12-30,2,백일해,15,288,7.0,2.14,,17-1
2023,52,2023-12-30,2,유행성이하선염,82,7730,181.0,0.45,,17-1
2023,52,2023-12-30,2,풍진,0,0,0.0,,,17-1
2023,52,2023-12-30,2,수막구균 감염증,0,10,0.0,,,17-1
2023,52,2023-12-30,2,폐렴구균 감염증,6,424,12.0,0.5,,17-1
2023,52,2023-12-30,2,한센병,1,3,0.0,,,17-1
2023,52,2023-12-30,2,성홍열,36,807,69.0,0.52,,17-1
2023,52,2023-12-30,2,반코마이신내성황색 포도알균(VRSA) 감염증,0,2,0.0,,,17-1
2023,52,2023-12-30,2,카바페넴내성장내세균목(CRE) 감염증,449,38156,362.0,1.24,,17-1
2023,52,2023-12-30,2,E형간염,11,570,,,,17-1
2023,52,2023-12-30,2,엠폭스(원숭이두창),0,151,,,,17-1
2023,52,2023-12-30,3,파상풍,0,27,0.0,,,17-1
2023,52,2023-12-30,3,B형간염,1,314,8.0,0.12,,17-1
2023,52,2023-12-30,3,일본뇌염,0,16,0.0,,,17-1
2023,52,2023-12-30,3,C형간염,75,7196,184.0,0.41,,17-1
2023,52,2023-12-30,3,말라리아,1,744,1.0,1.0,,17-1
2023,52,2023-12-30,3,레지오넬라증,10,514,8.0,1.25,,17-1
2023,52,2023-12-30,3,비브리오패혈증,0,69,0.0,,,17-1
2023,52,2023-12-30,3,발진열,6,34,0.0,,,17-1
2023,52,2023-12-30,3,쯔쯔가무시증,31,5638,58.0,0.53,,17-1
2023,52,2023-12-30,3,렙토스피라증,0,51,2.0,0.0,,17-1
2023,52,2023-12-30,3,브루셀라증,0,5,0.0,,,17-1
2023,52,2023-12-30,3,신증후군출혈열,7,451,7.0,1.0,,17-1
2023,52,2023-12-30,3,후천성면역결핍증(AIDS),14,748,24.0,0.58,,17-1
2023,52,2023-12-30,3,크로이츠펠트-야콥병(CJD),0,54,1.0,0.0,,17-1
2023,52,2023-12-30,3,뎅기열,1,201,2.0,0.5,,17-1
2023,52,2023-12-30,3,큐열,0,57,1.0,0.0,,17-1
