게시판,artclId,제목,등록일,URL
공지사항,312514,에볼라바이러스병 중점검역관리지역 및 검역관리지역 변경 지정 안내,2026.09.04,https://www.kdca.go.kr/bbs/kdca/50/312514/artclView.do
공지사항,312390,2026년 감염병 위기 사회대응 포럼 개최 안내,2026.09.02,https://www.kdca.go.kr/bbs/kdca/50/312390/artclView.do
지침,312398,2026년 제1급감염병(바이러스성출혈열) 대응지침(2026.8월),2026.08.28,https://www.kdca.go.kr/bbs/kdca/55/312398/artclView.do
지침,312381,2026년 코로나바이러스감염증-19 관리지침,2026.08.27,https://www.kdca.go.kr/bbs/kdca/55/312381/artclView.do
공지사항,312370,2026년 제8차 코로나19예방접종 피해보상 재심위원회 회의록,2026.08.26,https://www.kdca.go.kr/bbs/kdca/50/312370/artclView.do
공지사항,312306,2026년 제5차 코로나19 예방접종 피해보상위원회 회의록,2026.08.24,https://www.kdca.go.kr/bbs/kdca/50/312306/artclView.do
지침,312241,감염병 위기 사회대응 매뉴얼(2026),2026.08.18,https://www.kdca.go.kr/bbs/kdca/55/312241/artclView.do
공지사항,312169,2026년 제4차 코로나19 예방접종 피해보상위원회 회의록,2026.08.11,https://www.kdca.go.kr/bbs/kdca/50/312169/artclView.do
공지사항,312158,2026년 제7차 코로나19 예방접종 피해보상 재심위원회 회의록,2026.08.11,https://www.kdca.go.kr/bbs/kdca/50/312158/artclView.do
공지사항,312000,2026년 제6차 코로나19 예방접종 피해보상 재심위원회 회의록,2026.07.28,https://www.kdca.go.kr/bbs/kdca/50/312000/artclView.do
서식,311968,연구원 경력증명서 신청(최신),2026.07.27,https://www.kdca.go.kr/bbs/kdca/57/311968/artclView.do
공지사항,311969,"[공모전] 에이즈 및 성매개감염병 제대로, 제로로 숏폼 영상 콘텐츠 공모전(7.27.~8.30.)",2026.07.27,https://www.kdca.go.kr/bbs/kdca/50/311969/artclView.do
지침,311933,의료관련감염 자율보고 운영안내(제3판),2026.07.24,https://www.kdca.go.kr/bbs/kdca/55/311933/artclView.do
교육자료,311953,아이와 함께하는 물놀이 안전수칙,2026.07.24,https://www.kdca.go.kr/bbs/kdca/49/311953/artclView.do
지침,311901,법정감염병 진단검사 통합지침(제5판),2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do
지침,311900,2026 검역감염병 대응지침,2026.07.23,https://www.kdca.go.kr/bbs/kdca/55/311900/artclView.do
공지사항,311732,2026년 제5차 코로나19 예방접종 피해보상 재심위원회 회의록,2026.07.09,https://www.kdca.go.kr/bbs/kdca/50/311732/artclView.do
지침,311716,2025년도 감염병 역학조사 연보,2026.07.08,https://www.kdca.go.kr/bbs/kdca/55/311716/artclView.do
