제목,등록일,연도,출처,게시판,최신판,판수,URL,URL2,계열키
[중앙방역대책본부]  [별첨] 코로나바이러스감염증-19 치료제 사용 안내 Q&A_220902기준,2022.09.05,2090,KDCA게시판,코로나19지침,Y,1,https://www.kdca.go.kr/bbs/kdca/245/204584/artclView.do,,코로나바이러스감염증19치료제사용Q&A220902기준
[중앙방역대책본부]  [별첨] 코로나바이러스감염증-19 치료제 사용 안내 Q&A_220816기준,2022.08.17,2081,KDCA게시판,코로나19지침,Y,1,https://www.kdca.go.kr/bbs/kdca/245/204582/artclView.do,,코로나바이러스감염증19치료제사용Q&A220816기준
에볼라바이러스병 중점검역관리지역 및 검역관리지역 변경 지정 안내,2026.09.04,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/312514/artclView.do,,에볼라바이러스병중점검역관리지역검역관리지역변경지정
2026년 감염병 위기 사회대응 포럼 개최 안내,2026.09.02,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/312390/artclView.do,,감염병위기사회대응포럼개최
2026년 제1급감염병(바이러스성출혈열) 대응지침(2026.8월),2026.08.28,2026,KDCA게시판+감염병포털,지침,Y,4,https://www.kdca.go.kr/bbs/kdca/55/312398/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/309846/artclView.do,제1급감염병대응지침
2026년 코로나바이러스감염증-19 관리지침,2026.08.27,2026,KDCA게시판,지침,Y,3,https://www.kdca.go.kr/bbs/kdca/55/312381/artclView.do,,코로나바이러스감염증19관리지침
2026년 제8차 코로나19예방접종 피해보상 재심위원회 회의록,2026.08.26,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/312370/artclView.do,,제8차코로나19예방접종피해보상재심위원회회의록
2026년 제5차 코로나19 예방접종 피해보상위원회 회의록,2026.08.24,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/312306/artclView.do,,제5차코로나19예방접종피해보상위원회회의록
감염병 위기 사회대응 매뉴얼(2026),2026.08.18,2026,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/312241/artclView.do,,감염병위기사회대응매뉴얼
2026년 제4차 코로나19 예방접종 피해보상위원회 회의록,2026.08.11,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/312169/artclView.do,,제4차코로나19예방접종피해보상위원회회의록
2026년 제7차 코로나19 예방접종 피해보상 재심위원회 회의록,2026.08.11,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/312158/artclView.do,,제7차코로나19예방접종피해보상재심위원회회의록
2026년 제6차 코로나19 예방접종 피해보상 재심위원회 회의록,2026.07.28,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/312000/artclView.do,,제6차코로나19예방접종피해보상재심위원회회의록
연구원 경력증명서 신청(최신),2026.07.27,2026,KDCA게시판,서식,Y,1,https://www.kdca.go.kr/bbs/kdca/57/311968/artclView.do,,연구원경력증명서신청
"[공모전] 에이즈 및 성매개감염병 제대로, 제로로 숏폼 영상 콘텐츠 공모전(7.27.~8.30.)",2026.07.27,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/311969/artclView.do,,에이즈성매개감염병제대로제로로숏폼영상콘텐츠공모전
의료관련감염 자율보고 운영안내(제3판),2026.07.24,2026,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/311933/artclView.do,,의료관련감염자율보고운영
아이와 함께하는 물놀이 안전수칙,2026.07.24,2026,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/311953/artclView.do,,아이와함께하는물놀이안전수칙
법정감염병 진단검사 통합지침(제5판),2026.07.23,2026,KDCA게시판+감염병포털,지침,Y,7,https://www.kdca.go.kr/bbs/kdca/55/311901/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260723171016500&q_clsfNo=-1,법정감염병진단검사통합지침
2026 검역감염병 대응지침,2026.07.23,2026,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/311900/artclView.do,,2026검역감염병대응지침
2026년 제5차 코로나19 예방접종 피해보상 재심위원회 회의록,2026.07.09,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/311732/artclView.do,,제5차코로나19예방접종피해보상재심위원회회의록
감염병 재난 코로나19 위기경보 '관심' 단계 해제 알림,2026.07.07,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/311707/artclView.do,,감염병재난코로나19위기경보'관심'단계해제알림
2026 만성콩팥병 팩트시트(KOREA CKD FACT SHEET),2026.07.06,2026,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/311695/artclView.do,,2026만성콩팥병팩트시트
「항생제 적정사용 관리(ASP) 시범사업」 FAQ 개정 안내(2026.6.30. 기준),2026.06.30,2026,KDCA게시판,지침,Y,2,https://www.kdca.go.kr/bbs/kdca/55/311621/artclView.do,,항생제적정사용관리시범사업FAQ
응급실 열사병 진료 지침,2026.06.30,2026,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/311630/artclView.do,,응급실열사병진료지침
"의료기관 간병인 대상 감염예방관리 교육자료(베트남어, 우즈벡어, 중국어)",2026.06.25,2026,KDCA게시판,교육자료,Y,1,https://www.kdca.go.kr/bbs/kdca/49/311570/artclView.do,,의료기관간병인대상감염예방관리교육자료
2026년 3분기 중점검역관리지역 및 검역관리지역 안내,2026.06.22,2026,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/311514/artclView.do,,3분기중점검역관리지역검역관리지역
2026년 제4차 코로나19 예방접종 피해보상 재심위원회 회의록,2026.06.19,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/311490/artclView.do,,제4차코로나19예방접종피해보상재심위원회회의록
2026년 제3차 코로나19 예방접종 피해보상 재심위원회 회의록,2026.06.09,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/311370/artclView.do,,제3차코로나19예방접종피해보상재심위원회회의록
2026년 제2차 코로나19 예방접종 피해보상 재심위원회 회의록(서면),2026.06.08,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/311356/artclView.do,,제2차코로나19예방접종피해보상재심위원회회의록
2026년 제3차 코로나19 예방접종 피해보상위원회 회의록(서면),2026.06.08,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/311355/artclView.do,,제3차코로나19예방접종피해보상위원회회의록
2026년 제2차 코로나19 예방접종 피해보상위원회 회의록(서면),2026.06.08,2026,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/311354/artclView.do,,제2차코로나19예방접종피해보상위원회회의록
코로나19예방접종 피해보상 특별법 업무지침(2판),2026.06.02,2026,KDCA게시판,지침,Y,2,https://www.kdca.go.kr/bbs/kdca/55/311300/artclView.do,,코로나19예방접종피해보상특별법업무지침
코로나19예방접종 피해보상 특별법 업무지침(2판) 서식,2026.06.02,2026,KDCA게시판,서식,Y,2,https://www.kdca.go.kr/bbs/kdca/57/311301/artclView.do,,코로나19예방접종피해보상특별법업무지침서식
2026년도 엔테로바이러스감염증·수족구병 관리지침 재안내,2026.06.01,2026,KDCA게시판,지침,Y,8,https://www.kdca.go.kr/bbs/kdca/55/311285/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/309990/artclView.do,엔테로바이러스감염증수족구병관리지침
2026년 수인성·식품매개감염병 관리지침 재안내,2026.06.01,2026,KDCA게시판,지침,Y,9,https://www.kdca.go.kr/bbs/kdca/55/311284/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/309571/artclView.do,수인성식품매개감염병관리지침
엠폭스 관리지침(제3-1판),2026.06.01,2026,KDCA게시판+감염병포털,지침,Y,3,https://www.kdca.go.kr/bbs/kdca/55/311278/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20260601083147987&q_clsfNo=-1,엠폭스관리지침
2026년 한타바이러스 심폐증후군(안데스바이러스 감염) 대응지침 제정 안내,2026.05.29,2026,KDCA게시판,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/311258/artclView.do,,한타바이러스심폐증후군대응지침
2026년 감염병 관리 사업 안내 지침,2026.05.28,2026,KDCA게시판,지침,Y,11,https://www.kdca.go.kr/bbs/kdca/55/311242/artclView.do,,감염병관리사업지침
