인플루엔자_주차,인플루엔자_기준일,ILI_1000명당,ILI_표본기관수,ILI_유행기준,수족구_주차,수족구_1000명당,수족구_표본기관수,유행성각결막염_1000명당,급성출혈성결막염_1000명당,출처호
51,2023-12-23,43.3,195,,52,0.8,109,4.8,0.3,17-1
52,2023-12-30,49.9,195,,1,1.1,109,3.8,0.4,17-2
5,2024-02-03,27.2,198,,6,1.0,110,4.5,0.3,17-6
9,2024-03-02,14.8,198,,10,0.7,109,3.2,0.5,17-10
13,2024-03-30,14.0,198,,14,1.6,110,4.3,,17-14
17,2024-04-27,9.9,300,,18,5.3,110,4.6,,17-18
21,2024-05-25,7.5,300,,22,25.0,110,4.4,,17-22
25,2024-06-22,6.1,300,,26,42.3,109,4.3,,17-26
29,2024-07-20,6.8,300,,30,52.0,109,6.9,,17-30
33,2024-08-17,10.2,300,,34,21.7,109,7.1,0.4,17-34
35,2024-08-31,7.8,300,,36,17.7,109,6.7,0.4,17-36
38,2024-09-21,6.0,300,8.6,39,7.5,109,5.5,0.5,17-38
42,2024-10-19,3.9,300,8.6,43,3.6,109,4.7,0.6,17-42
46,2024-11-16,4.6,300,8.6,47,3.3,109,4.6,0.5,17-46
50,2024-12-14,13.6,300,8.6,51,1.1,109,5.7,0.7,17-50
52,2024-12-28,73.9,300,8.6,1,0.8,110,4.7,0.9,18-2
5,2025-02-01,30.4,300,8.6,6,0.4,110,5.2,0.6,18-6
9,2025-03-01,9.1,300,8.6,10,0.5,110,6.3,0.1,18-10
13,2025-03-29,16.3,300,8.6,14,0.7,110,8.4,0.5,18-14
17,2025-04-26,16.1,300,8.6,18,0.9,110,9.2,0.5,18-18
21,2025-05-24,7.3,300,8.6,22,2.3,109,11.3,0.5,18-22
25,2025-06-21,5.1,300,8.6,26,9.9,93,9.0,0.8,18-26
29,2025-07-19,4.8,300,8.6,30,20.8,93,9.4,0.2,18-30
33,2025-08-16,5.8,300,8.6,34,21.2,94,8.6,0.5,18-34
37,2025-09-13,6.7,299,9.1,38,19.3,94,8.9,0.9,18-38
46,2025-11-15,66.3,298,9.1,47,5.9,92,8.2,0.5,18-46
50,2025-12-13,48.4,296,9.1,51,5.4,91,5.7,0.4,18-50
1,2026-01-03,36.4,295,9.1,2,2.0,92,6.0,0.4,19-2
5,2026-01-31,47.5,294,9.1,6,0.9,92,5.5,0.4,19-6
10,2026-03-07,17.4,294,9.1,11,0.8,93,6.1,0.4,19-10
14,2026-04-04,14.5,294,9.1,15,1.6,93,5.7,0.5,19-14
18,2026-05-02,8.1,294,9.1,19,1.1,93,7.8,0.8,19-18
22,2026-05-30,4.4,294,9.1,23,7.2,93,7.0,0.7,19-22
26,2026-06-27,4.1,294,9.1,27,19.4,93,9.7,0.5,19-26
30,2026-07-25,6.4,294,9.1,31,35.0,93,8.0,0.3,19-30
34,2026-08-22,9.2,294,9.1,35,22.6,92,9.0,0.5,19-34
