연도,주차,감염병,유입국가,신고수,출처호
2023,52,말라리아,인도네시아,1,17-1
2023,52,뎅기열,대만,1,17-1
2024,1,말라리아,부르키나파소,1,17-2
2024,1,뎅기열,베트남,1,17-2
2024,1,매독(잠복),중국,1,17-2
2024,6,홍역,우즈베키스탄,1,17-6
2024,6,세균성이질,필리핀,1,17-6
2024,6,매독(1기),네팔,1,17-6
2024,6,매독(2기),미국,1,17-6
2024,6,매독(잠복),독일,1,17-6
2024,6,매독(잠복),몽골,1,17-6
2024,10,뎅기열,인도네시아,1,17-10
2024,10,뎅기열,필리핀,1,17-10
2024,10,매독(1기),네팔,1,17-10
2024,10,매독(1기),미국,1,17-10
2024,10,매독(잠복),몽골,1,17-10
2024,10,매독(잠복),예멘,1,17-10
2024,14,수두,홍콩,1,17-14
2024,14,세균성이질,필리핀,1,17-14
2024,14,뎅기열,인도네시아,1,17-14
2024,14,뎅기열,태국,1,17-14
2024,14,매독(1기),라오스,1,17-14
2024,14,매독(잠복),몽골,1,17-14
2024,18,수두,인도네시아,1,17-18
2024,18,세균성이질,베트남,1,17-18
2024,18,C형간염,러시아,1,17-18
2024,18,뎅기열,베트남,1,17-18
2024,22,성홍열,미국,1,17-22
2024,22,말라리아,탄자니아,1,17-22
2024,22,뎅기열,브라질,1,17-22
2024,22,매독(1기),인도네시아,1,17-22
2024,22,매독(1기),태국,2,17-22
2024,22,매독(잠복),라오스,1,17-22
2024,22,매독(잠복),필리핀,1,17-22
2024,26,백일해,베트남,1,17-26
2024,26,백일해,필리핀,1,17-26
2024,26,C형간염,중국,2,17-26
2024,26,뎅기열,인도네시아,1,17-26
2024,26,매독(1기),남아프리카공화국,1,17-26
2024,26,필리핀(1) 매독(2기),라오스,1,17-26
2024,26,매독(잠복),남아프리카공화국,1,17-26
2024,30,세균성이질,필리핀,1,17-30
2024,30,세균성이질,캄보디아,1,17-30
2024,30,C형간염,몽골,1,17-30
2024,30,C형간염,일본,1,17-30
2024,30,말라리아,인도네시아,1,17-30
2024,30,뎅기열,라오스,1,17-30
